case_id,painting_id,painting_index,degradation_type,severity,severity_rank,is_combined,component_degradations,component_count,global_seed,case_seed,effect_mask_seed,operator_seeds_json,operator_parameters_json,width,height,content_x_min,content_y_min,content_x_max,content_y_max,content_area_pixels,effect_support_pixels,effect_active_pixels,effect_percentage_content,effect_percentage_full,effect_mean_intensity,effect_max_intensity,effect_bbox_x_min,effect_bbox_y_min,effect_bbox_x_max,effect_bbox_y_max,effect_centroid_x,effect_centroid_y,changed_pixels,changed_percentage_full,outside_effect_changed_pixels,inside_effect_changed_pixels,mean_absolute_difference_effect,maximum_absolute_difference,clean_path,effect_mask_filename,effect_mask_path,degraded_filename,degraded_path,clean_sha256,effect_mask_sha256,degraded_sha256,effect_mask_file_size_bytes,degraded_file_size_bytes,generator_name,generator_version,generated_at_utc,generation_action,status,issue,source,title,artist,category
p001__fading__moderate,p001,0,fading,moderate,2,False,fading,1,20260707,3389216376,508785831,[4035221635],"[{""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 3888891329, ""saturation_factor"": 0.62, ""seed"": 4035221635}]",768,768,52,0,715,768,509184,214610,163657,32.14103349673203,27.746751573350693,117.2098107627538,197,237,97,625,649,431.55600432612107,371.8334626688745,145201,24.61768256293403,0,145201,1.1852398925182113,18,data/processed/clean/p001_clean.png,p001__fading__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__fading__moderate_effect_mask.png,p001__fading__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__fading__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,61255eabb5f3d92bd7b05d0033c1f4a9b2d322e8f27c656713b5de04bbd82ef9,dc6294b8671a9d0ab7b35e32197dad938e7d5f0777f3e2fa81593a4c8e3e08f9,31160,719638,synthetic_degradation,1.0.0,2026-07-23T20:45:47.991136+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__fading__severe,p001,0,fading,severe,3,False,fading,1,20260707,753224761,4014215520,[2971608850],"[{""brightness_factor"": 1.12, ""contrast_factor"": 0.76, ""degradation_type"": ""fading"", ""operator_seed"": 3940766665, ""saturation_factor"": 0.42, ""seed"": 2971608850}]",768,768,52,0,715,768,509184,423238,357812,70.27165032679738,60.66419813368056,132.85659228868792,232,110,0,709,768,399.17939588387196,366.58951348752976,350644,59.44892035590278,0,350644,2.4772043153025014,27,data/processed/clean/p001_clean.png,p001__fading__severe_effect_mask.png,data/processed/masks/synthetic_degradation/p001__fading__severe_effect_mask.png,p001__fading__severe_degraded.png,data/processed/degraded/synthetic_degradation/p001__fading__severe_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,4ea5a4d9529b51fd2d4d1437b9b8717912fca32107d32049d281496f7850173f,c028382dcd93d99ad5d3d4142703e913c8337f84ce3a41cd59179ce555f74615,52878,701692,synthetic_degradation,1.0.0,2026-07-23T20:45:48.722726+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__partial_transparency__mild,p001,0,partial_transparency,mild,1,False,partial_transparency,1,20260707,2349117732,3052424483,[2324000800],"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 638513229, ""seed"": 2324000800, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.12}]",768,768,52,0,715,768,509184,120518,83268,16.353223981900452,14.117431640625,110.37719171830716,253,139,49,701,631,440.4721141374838,312.3799058461834,90984,15.425618489583334,0,90984,5.021548648334688,19,data/processed/clean/p001_clean.png,p001__partial_transparency__mild_effect_mask.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__mild_effect_mask.png,p001__partial_transparency__mild_degraded.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__mild_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,a9124bbe4b9054f21f321f0812a6b04af1c28c10a8d3e43d3dd00cad7dba5081,5cc711c247291911fbe036a72e796d8b717f2d89bb593cd6155761d0b663eda1,23633,722835,synthetic_degradation,1.0.0,2026-07-23T20:45:53.467406+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__partial_transparency__moderate,p001,0,partial_transparency,moderate,2,False,partial_transparency,1,20260707,2627682255,3597262602,[853717800],"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 4004581363, ""seed"": 853717800, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.24}]",768,768,52,0,715,768,509184,256781,203183,39.90364976118653,34.44807264539931,119.01482407484878,222,130,0,537,768,338.68618437566136,397.62468808906254,231901,39.31698269314236,0,231901,11.983278877071642,39,data/processed/clean/p001_clean.png,p001__partial_transparency__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__moderate_effect_mask.png,p001__partial_transparency__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,a52ddb001983e6265d4bdafb3a1ed3ef9d94ecfff88db9f98691931455d125fe,e9f4f6aa989115149ff22e1ba61905f6bf9773317e08a42cd55863b8eb211212,38141,712160,synthetic_degradation,1.0.0,2026-07-23T20:45:54.143196+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__partial_transparency__severe,p001,0,partial_transparency,severe,3,False,partial_transparency,1,20260707,2136551061,2014804427,[3291870686],"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 3864154665, ""seed"": 3291870686, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.4}]",768,768,52,0,715,768,509184,475536,442958,86.99369972347914,75.10002983940973,158.24571629815918,251,52,0,715,768,396.4397572681834,392.3746698332573,468104,79.36333550347221,0,468104,31.6203189663874,75,data/processed/clean/p001_clean.png,p001__partial_transparency__severe_effect_mask.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__severe_effect_mask.png,p001__partial_transparency__severe_degraded.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__severe_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,89cbb3c0feb8785b6e1d3d8c3a5ba75a5d019f7eb2d2b68ae98670e80ce0bb1d,3fe756a941bb3856f15035961ece559e3bfe6650944d19bf2d610895ae90bf33,58766,668288,synthetic_degradation,1.0.0,2026-07-23T20:45:54.875665+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__water_stain__mild,p001,0,water_stain,mild,1,False,water_stain,1,20260707,3522301982,2877561456,[2204824664],"[{""degradation_type"": ""water_stain"", ""operator_seed"": 4168109318, ""ring_strength"": 0.18, ""seed"": 2204824664, ""stain_colour_rgb"": [142, 104, 58], ""stain_opacity"": 0.18}]",768,768,52,0,715,768,509184,58106,53684,10.543143539467069,9.101698133680555,101.77214812607109,137,140,422,348,751,243.5,586.0,55430,9.397718641493055,0,55430,5.2185660689085465,13,data/processed/clean/p001_clean.png,p001__water_stain__mild_effect_mask.png,data/processed/masks/synthetic_degradation/p001__water_stain__mild_effect_mask.png,p001__water_stain__mild_degraded.png,data/processed/degraded/synthetic_degradation/p001__water_stain__mild_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,e171df4f4659322b454d21eb32cdc4849a901d97787580aa154b38f0e5091dd6,cff4241aa4ab8e99abe0d4d8e8f566adc459f9d9e4d857bbc7b0219b7310b1fd,10744,722497,synthetic_degradation,1.0.0,2026-07-23T20:45:45.140425+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__water_stain__moderate,p001,0,water_stain,moderate,2,False,water_stain,1,20260707,2318883541,3790021019,[2758650449],"[{""degradation_type"": ""water_stain"", ""operator_seed"": 421443941, ""ring_strength"": 0.28, ""seed"": 2758650449, ""stain_colour_rgb"": [132, 91, 45], ""stain_opacity"": 0.28}]",768,768,52,0,715,768,509184,126986,112727,22.13875534188034,19.11197238498264,95.78292689417798,131,91,59,671,386,374.3671258882078,230.7588953844243,119265,20.220438639322914,0,119265,5.146514838906126,18,data/processed/clean/p001_clean.png,p001__water_stain__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__water_stain__moderate_effect_mask.png,p001__water_stain__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__water_stain__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,24fc28f13a5a9fd70fd963dbb0ab84c2ecc3ed20d829cf5437d84c84aabec57e,304461ccf5a0780b8b89521a2c28e145f8aabaf792c6ede74357da1ee5eef3e8,21649,719851,synthetic_degradation,1.0.0,2026-07-23T20:45:45.870757+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__water_stain__severe,p001,0,water_stain,severe,3,False,water_stain,1,20260707,739023769,1184145729,[3357504631],"[{""degradation_type"": ""water_stain"", ""operator_seed"": 4199241732, ""ring_strength"": 0.38, ""seed"": 3357504631, ""stain_colour_rgb"": [116, 72, 34], ""stain_opacity"": 0.4}]",768,768,52,0,715,768,509184,165414,144349,28.349084024635495,24.47323269314236,94.15199273981808,144,225,103,698,646,423.78163340237893,345.0094908866705,154154,26.13559299045139,0,154154,5.361106073246521,24,data/processed/clean/p001_clean.png,p001__water_stain__severe_effect_mask.png,data/processed/masks/synthetic_degradation/p001__water_stain__severe_effect_mask.png,p001__water_stain__severe_degraded.png,data/processed/degraded/synthetic_degradation/p001__water_stain__severe_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,bf2aa9caba208fe9b9f7766875ad7b116d875baab3b54ad6aa031161470cdf24,2bebca226c1b2fa099be50c7f2c81621b02dd216c3c2ba8d9e39c5b5573ab1b1,27077,712901,synthetic_degradation,1.0.0,2026-07-23T20:45:46.619333+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__blur_fading__moderate,p001,0,blur_fading,moderate,2,True,blur|fading,2,20260707,3616891799,2401310475,"[829339353, 4106100702]","[{""blur_radius"": 3.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.75, ""operator_seed"": 2365731916, ""seed"": 829339353}, {""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 642045027, ""saturation_factor"": 0.62, ""seed"": 4106100702}]",768,768,52,0,715,768,509184,207826,169532,33.29484037204625,28.742811414930557,121.29295944128542,197,291,256,715,768,500.73690512705565,521.9289809593469,156006,26.4495849609375,0,156006,1.6435463641058705,57,data/processed/clean/p001_clean.png,p001__blur_fading__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__blur_fading__moderate_effect_mask.png,p001__blur_fading__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__blur_fading__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,2b26208959d1d939fa3fb55d17649825504cd5d962512dc7b27d8d1365cec23e,826b1977393fc32d91f078384b94775247994dab15593ff716fc11831dc83ac8,31519,694359,synthetic_degradation,1.0.0,2026-07-23T20:45:57.260927+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__fading_discolouration__moderate,p001,0,fading_discolouration,moderate,2,True,fading|discolouration,2,20260707,531186882,2494532116,"[2891575035, 2094745133]","[{""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 3843764787, ""saturation_factor"": 0.62, ""seed"": 2891575035}, {""channel_scale_b"": 0.86, ""channel_scale_g"": 0.97, ""channel_scale_r"": 1.09, ""degradation_type"": ""discolouration"", ""operator_seed"": 3236776284, ""seed"": 2094745133}]",768,768,52,0,715,768,509184,251531,200931,39.46137349170437,34.066263834635414,111.2465025307195,199,170,249,715,755,442.96037445690314,489.97066157038984,170056,28.831651475694443,0,170056,0.7050741260520572,16,data/processed/clean/p001_clean.png,p001__fading_discolouration__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__fading_discolouration__moderate_effect_mask.png,p001__fading_discolouration__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__fading_discolouration__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,8961cd0e244c573e4e9fce585002834042eb96baeb36fd02e79db18165f9e090,4e9696fcf58b651808005cd806f8d0c2601c6f9ef296588a1107ce0e685972d5,39036,719096,synthetic_degradation,1.0.0,2026-07-23T20:45:55.658550+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__water_stain_dirt__moderate,p001,0,water_stain_dirt,moderate,2,True,water_stain|dirt_dust,2,20260707,203939778,2263153801,"[2816271946, 1019364838]","[{""degradation_type"": ""water_stain"", ""operator_seed"": 2562623618, ""ring_strength"": 0.28, ""seed"": 2816271946, ""stain_colour_rgb"": [132, 91, 45], ""stain_opacity"": 0.28}, {""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.1, ""operator_seed"": 3210629971, ""particle_count_estimate"": 87376, ""particle_density"": 0.00045, ""particle_opacity"": 0.36, ""particle_radius_max"": 5, ""particle_radius_min"": 1, ""seed"": 1019364838}]",768,768,52,0,715,768,509184,122052,109273,21.46041509552539,18.52637396918403,112.83525665077374,138,64,0,715,456,389.87721578065947,193.05536591838788,114650,19.438001844618054,0,114650,6.811785140759676,20,data/processed/clean/p001_clean.png,p001__water_stain_dirt__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__water_stain_dirt__moderate_effect_mask.png,p001__water_stain_dirt__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__water_stain_dirt__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,22371ac831cc2f1fdea6531dbbba53048502cec4a4e6c05a770d43e5cdf70fa0,fefb156022605272389412a73811d0cd98b17cc64917aadd45abcf810a1b8ee9,19234,719594,synthetic_degradation,1.0.0,2026-07-23T20:45:56.465975+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
