painting_id,category,title,artist,date,style_or_period,medium,source,source_url,license,filename,original_width,original_height,selection_reason,visual_complexity_note,status,notes,raw_filename,raw_image_path,processed_filename,processed_path,processed_width,processed_height,target_size,resize_scale,resized_width,resized_height,pad_left,pad_top,pad_right,pad_bottom,padding_color_r,padding_color_g,padding_color_b,content_x_min,content_y_min,content_x_max,content_y_max,content_width,content_height,preprocessing_method,content_area_pixels,content_area_percentage
p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,3811,2618,"Wide natural landscape with sky, water, and land structure.",Panoramic view with tonal gradients and distant detail.,selected,Met Open Access.,p011.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p011.jpg,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,768,768,768,0.20152191025977434,768,528,0,120,0,120,120,117,101,0,120,768,648,768,528,aspect_ratio_resize_median_rgb_pad,405504,68.75
p012,landscape_natural,An Extensive Wooded Landscape,Philips Koninck,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436831,Public Domain / Open Access,p012.jpg,3907,2893,Broad panoramic wooded landscape.,"Trees, sky, cloud detail, and depth.",selected,Met Open Access.,p012.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p012.jpg,p012_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p012_clean.png,768,768,768,0.196570258510366,768,569,0,99,0,100,119,117,107,0,99,768,668,768,569,aspect_ratio_resize_median_rgb_pad,436992,74.09
p013,landscape_natural,Landscape with a Village in the Distance,Jacob van Ruisdael,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437545,Public Domain / Open Access,p013.jpg,3811,2649,Sharp-detail landscape with distant village.,Natural scene with strong detail and built element.,selected,Met Open Access.,p013.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p013.jpg,p013_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p013_clean.png,768,768,768,0.20152191025977434,768,534,0,117,0,117,68,57,33,0,117,768,651,768,534,aspect_ratio_resize_median_rgb_pad,410112,69.53
p014,landscape_natural,Landscape on a River,Charles-François Daubigny,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436081,Public Domain / Open Access,p014.jpg,4000,2266,Riverbank and foliage landscape replacement.,"River, trees, sky, and soft tonal transitions.",selected,Met Open Access replacement.,p014.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p014.jpg,p014_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p014_clean.png,768,768,768,0.192,768,435,0,166,0,167,104,104,80,0,166,768,601,768,435,aspect_ratio_resize_median_rgb_pad,334080,56.64
p015,landscape_natural,Landscape,Henri-Joseph Harpignies,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/337306,Public Domain / Open Access,p015.jpg,2778,3862,Distinct softer landscape case.,Different mood and composition from panoramic cases.,selected,Met Open Access.,p015.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p015.jpg,p015_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p015_clean.png,768,768,768,0.19886069394096323,552,768,108,0,108,0,142,140,122,108,0,660,768,552,768,aspect_ratio_resize_median_rgb_pad,423936,71.88
p016,landscape_natural,Wooded Landscape with a House beside a River,Thomas Gainsborough,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/343423,Public Domain / Open Access,p016.jpg,3903,2465,Drawing-like wooded landscape.,"Trees, river, and small built structure.",selected,Met Open Access.,p016.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p016.jpg,p016_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p016_clean.png,768,768,768,0.196771714066103,768,485,0,141,0,142,164,154,134,0,141,768,626,768,485,aspect_ratio_resize_median_rgb_pad,372480,63.15
p017,landscape_natural,Picturesque Landscape,"Anonymous, British, 18th century",,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/364452,Public Domain / Open Access,p017.jpg,2581,3501,Stylistically different historical landscape.,Distinct visual flavor compared with Dutch/French cases.,selected,Met Open Access.,p017.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p017.jpg,p017_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p017_clean.png,768,768,768,0.21936589545844046,566,768,101,0,101,0,172,160,139,101,0,667,768,566,768,aspect_ratio_resize_median_rgb_pad,434688,73.7
p018,landscape_natural,Classical Landscape with Figures,Henri Mauperché,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437039,Public Domain / Open Access,p018.jpg,4000,2643,Landscape with clearly defined human figures.,Broad natural setting with small human presence.,selected,Met Open Access.,p018.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p018.jpg,p018_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p018_clean.png,768,768,768,0.192,768,507,0,130,0,131,90,74,44,0,130,768,637,768,507,aspect_ratio_resize_median_rgb_pad,389376,66.02
p019,landscape_natural,Evening: Landscape with an Aqueduct,Théodore Géricault,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436455,Public Domain / Open Access,p019.jpg,3241,3697,Atmospheric landscape with glowing light.,"Mood, light contrast, and structural background element.",selected,Met Open Access.,p019.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p019.jpg,p019_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p019_clean.png,768,768,768,0.2077360021639167,673,768,47,0,48,0,65,46,28,47,0,720,768,673,768,aspect_ratio_resize_median_rgb_pad,516864,87.63
p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),Unknown,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/335335,Public Domain / Open Access,p020.jpg,3508,2416,Study-like mountain variation.,Different mountain-focused natural structure.,selected,Met Open Access.,p020.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p020.jpg,p020_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p020_clean.png,768,768,768,0.21892816419612315,768,529,0,119,0,120,209,197,180,0,119,768,648,768,529,aspect_ratio_resize_median_rgb_pad,406272,68.88
p021,architecture_structured,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,4435,5246,"Architectural interior with perspective, columns, and windows.",Church interior with strong depth and vertical lines.,selected,Rijksmuseum.,p021.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p021.jpg,p021_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p021_clean.png,768,768,768,0.14639725505146778,649,768,59,0,60,0,80,67,43,59,0,708,768,649,768,aspect_ratio_resize_median_rgb_pad,498432,84.51
p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",Emanuel de Witte,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-a-Protestant-Gothic-Church-with-a-Gravedigger-in-the-Choir--46eceb3566e0be6f1e30680ef03509c0,Public domain,p022.jpg,4156,5341,Gothic interior with oblique depth and floor geometry.,"Columns, repeated structures, and perspective lines.",selected,Rijksmuseum.,p022.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p022.jpg,p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,768,768,768,0.1437932971353679,598,768,85,0,85,0,90,69,42,85,0,683,768,598,768,aspect_ratio_resize_median_rgb_pad,459264,77.86
p023,architecture_structured,Church Interior,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Church-Interior--03aa0ac29d0083c4a571318a84e8f945,Public domain,p023.jpg,5072,7086,Cleaner church-interior perspective case.,"Walls, arches, and moderate spatial complexity.",selected,Rijksmuseum.,p023.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p023.jpg,p023_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p023_clean.png,768,768,768,0.10838272650296359,550,768,109,0,109,0,141,116,83,109,0,659,768,550,768,aspect_ratio_resize_median_rgb_pad,422400,71.61
p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-the-Church-of-St-Bavo-in-Haarlem--b31dd103930167349dc1a3b0a51bb271,Public domain,p024.jpg,2882,3700,Large-scale church interior.,"Ceiling, windows, columns, and repeated structures.",selected,Rijksmuseum.,p024.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p024.jpg,p024_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p024_clean.png,768,768,768,0.20756756756756756,598,768,85,0,85,0,79,73,32,85,0,683,768,598,768,aspect_ratio_resize_median_rgb_pad,459264,77.86
p025,architecture_structured,The Quay de Paris in Rouen,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/The-Quay-de-Paris-in-Rouen--8daf5b303aefa1b66277fe8526c0a25e,Public domain,p025.jpg,5595,4661,Urban architecture case with quay and facades.,City composition with vertical built elements.,selected,Rijksmuseum.,p025.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p025.jpg,p025_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p025_clean.png,768,768,768,0.13726541554959787,768,640,0,64,0,64,162,151,118,0,64,768,704,768,640,aspect_ratio_resize_median_rgb_pad,491520,83.33
p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/View-of-a-Village-along-a-River--c8cdc4675af3869fd7e7c95e32ddb396,Public domain,p026.jpg,5856,4032,Village architecture embedded in wider scene.,Built environment and natural context.,selected,Rijksmuseum.,p026.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p026.jpg,p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,768,768,768,0.13114754098360656,768,529,0,119,0,120,86,111,93,0,119,768,648,768,529,aspect_ratio_resize_median_rgb_pad,406272,68.88
p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,Jan Both,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Italian-Landscape-with-the-Ponte-Lucano-over-the-Aniene-River--18a22d96a256250a8d2a00d7e5f38d05,Public domain,p027.jpg,5466,4278,Bridge geometry and architecture-nature mix.,"Perspective, edges, and built structure.",selected,Rijksmuseum.,p027.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p027.jpg,p027_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p027_clean.png,768,768,768,0.14050493962678376,768,601,0,83,0,84,92,77,43,0,83,768,684,768,601,aspect_ratio_resize_median_rgb_pad,461568,78.26
p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),workshop of Johannes Vinckboons,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Trading-posts-of-the-Dutch-East-India-Company-VOC--10844c1f956e0846a1ea5e635e444377,Public domain,p028.jpg,7308,5057,Large structured buildings and site layout.,Multiple buildings and organized spatial layout.,selected,Rijksmuseum.,p028.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p028.jpg,p028_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p028_clean.png,768,768,768,0.10509031198686371,768,531,0,118,0,119,164,151,125,0,118,768,649,768,531,aspect_ratio_resize_median_rgb_pad,407808,69.14
p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",workshop of Johannes Vinckboons,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/The-Trading-Post-of-the-Dutch-East-India-Company-in-Hooghly-Bengal--d17e986c21eff4ae7608c35080d128e1,Public domain,p029.jpg,6166,4010,Large architectural site composition.,Built environment with scale and layout.,selected,Rijksmuseum.,p029.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p029.jpg,p029_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p029_clean.png,768,768,768,0.12455400583846903,768,499,0,134,0,135,120,108,84,0,134,768,633,768,499,aspect_ratio_resize_median_rgb_pad,383232,64.97
p030,architecture_structured,Interior with Five Women,attributed to Dirck van Delen,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-with-Five-Women--63cf18ae6e46b04ce56858f17cb88a40,Public domain,p030.jpg,7320,4811,Stately architectural interior with figures.,"Walls, floor, and strong interior geometry.",selected,Rijksmuseum.,p030.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p030.jpg,p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,768,768,768,0.10491803278688525,768,505,0,131,0,132,79,64,49,0,131,768,636,768,505,aspect_ratio_resize_median_rgb_pad,387840,65.76
p031,abstraction_surrealism,Improvisation No. 30 (Cannons),Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,2987,3000,Pure abstraction with energetic forms and colors.,Chaotic shapes and color interactions.,selected,Art Institute of Chicago.,p031.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p031.jpg,p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,768,768,768,0.256,765,768,1,0,2,0,150,133,116,1,0,766,768,765,768,aspect_ratio_resize_median_rgb_pad,587520,99.61
p032,abstraction_surrealism,Composition (No. 1) Gray-Red,Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/65821/composition-no-1-gray-red,CC0 Public Domain Designation,p032.jpg,2182,2250,Geometric abstraction with sharp lines.,Structured color regions and edge geometry.,selected,Art Institute of Chicago.,p032.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p032.jpg,p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,768,768,768,0.3413333333333333,745,768,11,0,12,0,224,224,220,11,0,756,768,745,768,aspect_ratio_resize_median_rgb_pad,572160,97.01
p033,abstraction_surrealism,Movement,Marsden Hartley,,,,Art Institute of Chicago,https://www.artic.edu/artworks/65916/movement,CC0 Public Domain Designation,p033.jpg,2981,3000,Dense abstract interweaving of shapes and colors.,Layered non-representational forms.,selected,Art Institute of Chicago.,p033.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p033.jpg,p033_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p033_clean.png,768,768,768,0.256,763,768,2,0,3,0,133,82,67,2,0,765,768,763,768,aspect_ratio_resize_median_rgb_pad,585984,99.35
p034,abstraction_surrealism,Painting with Green Center,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8987/painting-with-green-center,CC0 Public Domain Designation,p034.jpg,2417,2250,Abstract color-and-shape field.,Central color emphasis and varied abstract forms.,selected,Art Institute of Chicago.,p034.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p034.jpg,p034_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p034_clean.png,768,768,768,0.3177492759619363,768,715,0,26,0,27,153,136,98,0,26,768,741,768,715,aspect_ratio_resize_median_rgb_pad,549120,93.1
p035,abstraction_surrealism,The Bewitched Mill,Franz Marc,,,,Art Institute of Chicago,https://www.artic.edu/artworks/9021/the-bewitched-mill,CC0 Public Domain Designation,p035.jpg,2072,3000,Symbolic dreamlike case beyond pure abstraction.,Distorted expressive scene with surreal-like qualities.,selected,Art Institute of Chicago.,p035.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p035.jpg,p035_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p035_clean.png,768,768,768,0.256,530,768,119,0,119,0,129,119,122,119,0,649,768,530,768,aspect_ratio_resize_median_rgb_pad,407040,69.01
p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray,CC0 Public Domain Designation,p036.jpg,3000,3000,Highly geometric abstraction with diagonal framing.,"Lines, borders, and planar color regions.",selected,Art Institute of Chicago.,p036.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p036.jpg,p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,768,768,768,0.256,768,768,0,0,0,0,235,235,235,0,0,768,768,768,768,aspect_ratio_resize_median_rgb_pad,589824,100.0
p037,abstraction_surrealism,In the Sea,Arnold Böcklin,,,,Art Institute of Chicago,https://www.artic.edu/artworks/110507/in-the-sea,CC0 Public Domain Designation,p037.jpg,3000,2261,Symbolic and dreamlike scene.,Mythic imagery with unusual mood.,selected,Art Institute of Chicago.,p037.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p037.jpg,p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,768,768,768,0.256,768,579,0,94,0,95,105,102,97,0,94,768,673,768,579,aspect_ratio_resize_median_rgb_pad,444672,75.39
p038,abstraction_surrealism,Mahana no atua (Day of the God),Paul Gauguin,,,,Art Institute of Chicago,https://www.artic.edu/artworks/27943/mahana-no-atua-day-of-the-god,CC0 Public Domain Designation,p038.jpg,3000,2238,Symbolic non-naturalistic color/figure composition.,Dreamlike scene with stylized forms.,selected,Art Institute of Chicago.,p038.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p038.jpg,p038_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p038_clean.png,768,768,768,0.256,768,573,0,97,0,98,98,99,92,0,97,768,670,768,573,aspect_ratio_resize_median_rgb_pad,440064,74.61
p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8983/painting-with-troika,CC0 Public Domain Designation,p039.jpg,3000,2202,Semi-abstract bridge case.,Stylized forms and partially recognizable elements.,selected,Art Institute of Chicago.,p039.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p039.jpg,p039_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p039_clean.png,768,768,768,0.256,768,564,0,102,0,102,137,113,93,0,102,768,666,768,564,aspect_ratio_resize_median_rgb_pad,433152,73.44
p040,abstraction_surrealism,Houses at Murnau,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/129849/houses-at-murnau,CC0 Public Domain Designation,p040.jpg,2920,2250,Strongly stylized semi-abstract scene.,Colorful simplified built forms.,selected,Art Institute of Chicago.,p040.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p040.jpg,p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,768,768,768,0.26301369863013696,768,592,0,88,0,88,108,90,51,0,88,768,680,768,592,aspect_ratio_resize_median_rgb_pad,454656,77.08
p041,high_texture_brushwork,Wheat Field with Cypresses,Vincent van Gogh,1889,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,4000,3184,High-texture case with swirling brushwork.,Dense directional brushwork and surface activity.,selected,Met Open Access.,p041.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p041.jpg,p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,768,768,768,0.192,768,611,0,78,0,79,113,121,96,0,78,768,689,768,611,aspect_ratio_resize_median_rgb_pad,469248,79.56
