case_id,painting_id,base_mask_id,base_mask_type,sensitivity_mask_id,target_percentage_content,target_pixels,realised_pixels,realised_percentage_content,realised_percentage_full,percentage_error_content,absolute_percentage_error_content,absolute_pixel_error,scale_factor,base_mask_pixels,base_percentage_content,base_percentage_full,content_area_pixels,content_bbox_left,content_bbox_top,content_bbox_right,content_bbox_bottom,width,height,deterministic_seed,global_seed,generator_name,generator_version,generated_at_utc,generation_action,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,clean_path,base_mask_path,sensitivity_mask_filename,sensitivity_mask_path,damaged_filename,damaged_path,clean_sha256,base_mask_sha256,sensitivity_mask_sha256,damaged_sha256,sensitivity_mask_file_size_bytes,damaged_file_size_bytes,status,issue,source,title,artist,category,config_version,experiment_name,experiment_version,notebook_stage,full_generation_started_at_utc,full_generation_completed_at_utc
p018__loss_large__size_08pct,p018,p018_loss_large,loss_large,p018__loss_large__size_08pct__mask,8.0,31150,31189,8.009995479947403,5.287848578559028,0.009995479947402686,0.009995479947402686,39,0.8597603784421213,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:25.627218+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_08pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_08pct_mask.png,p018__loss_large__size_08pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_08pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,aed1e45828f838811cb041e885216af4a0e78ee3fd61d33cbb0d58fdbbef2a13,76adb93b80d3db52e74387cd3f2b8efd7c706584f5bec58d4a2b8fddb8288222,2172,493136,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p018__loss_large__size_10pct,p018,p018_loss_large,loss_large,p018__loss_large__size_10pct__mask,10.0,38938,38979,10.010632396449704,6.60858154296875,0.010632396449704373,0.010632396449704373,41,0.959402548369255,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:26.070941+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_10pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_10pct_mask.png,p018__loss_large__size_10pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_10pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,40e864bfaef8ae761b580bcd0b24684d36e2db85004a68244fdfca4f3f545836,8bd85be641ba6413f55cb008f03bfe5330f12c05eff24d7dd0590f594ac1da58,2368,482808,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p018__loss_large__size_15pct,p018,p018_loss_large,loss_large,p018__loss_large__size_15pct__mask,15.0,58406,58322,14.97832429322814,9.88803439670139,-0.021675706771860703,0.021675706771860703,84,1.1750132917464762,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:26.514544+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_15pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_15pct_mask.png,p018__loss_large__size_15pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_15pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,6bf05921a588610391f9273164747e8da8dee2fe2f1e0503ca62b641b5b766e0,b6009af1055bcfa94209652a541273ad520b5434d33707a97b9648573a91bb72,2615,455832,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p018__loss_large__size_20pct,p018,p018_loss_large,loss_large,p018__loss_large__size_20pct__mask,20.0,77875,77936,20.01561472715319,13.213433159722221,0.015614727153188568,0.015614727153188568,61,1.3580959516443198,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:26.960551+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_20pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_20pct_mask.png,p018__loss_large__size_20pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_20pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,0104a23a1f7fb2b22db215e49e726ce4d0c77d81dbcc3e9ce097e4ac4397f62c,b8b6b7126f36fa399298f8ca9ba09ac466cf100f200bf580a393e66cca967f70,2751,424292,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p026__loss_large__size_02pct,p026,p026_loss_large,loss_large,p026__loss_large__size_02pct__mask,2.0,8125,8147,2.0053067895400125,1.3812594943576388,0.005306789540012513,0.005306789540012513,22,0.3932449519373412,52670,12.964221014492754,8.92978244357639,406272,0,119,768,648,768,768,2820786575,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:27.498918+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p026_clean.png,data/processed/masks/p026_loss_large_mask.png,p026__loss_large__size_02pct_mask.png,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_02pct_mask.png,p026__loss_large__size_02pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_02pct_damaged.png,48819acb8a3147c0230f636c58eaaa127b2bdde3b71bb7e4f101b4e2ac97b3ee,8ef7cd4b93472ee54a398d00371049aa7208ab828d6a838dc40f7590546bec90,f3765fe8e4af33f835a6603a68f8b9076213c3d084c4e444d05473df38ea4aaa,cff6e450ffcbd2d0f19d1058d7d4dcd4d7dd90c20f111a95d811466fa351e576,1418,747755,ok,,Rijksmuseum,View of a Village along a River,attributed to Jan Brueghel I,architecture_structured,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p026__loss_large__size_04pct,p026,p026_loss_large,loss_large,p026__loss_large__size_04pct__mask,4.0,16251,16243,3.9980604127284183,2.753872341579861,-0.001939587271581722,0.001939587271581722,8,0.5564164421856368,52670,12.964221014492754,8.92978244357639,406272,0,119,768,648,768,768,2820786575,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:27.850687+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p026_clean.png,data/processed/masks/p026_loss_large_mask.png,p026__loss_large__size_04pct_mask.png,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_04pct_mask.png,p026__loss_large__size_04pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_04pct_damaged.png,48819acb8a3147c0230f636c58eaaa127b2bdde3b71bb7e4f101b4e2ac97b3ee,8ef7cd4b93472ee54a398d00371049aa7208ab828d6a838dc40f7590546bec90,59d2d4a77accc227d4bab5bc41dbcff9947b38bec832a53a21d6d936103e9ccb,6cc2938e94fa1c4f227e8499e02bb838f2725136fbd8ff9777a90cb397b4fef1,1738,736176,ok,,Rijksmuseum,View of a Village along a River,attributed to Jan Brueghel I,architecture_structured,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p026__loss_large__size_06pct,p026,p026_loss_large,loss_large,p026__loss_large__size_06pct__mask,6.0,24376,24409,6.008043872085696,4.138353135850695,0.008043872085695902,0.008043872085695902,33,0.6814611949017946,52670,12.964221014492754,8.92978244357639,406272,0,119,768,648,768,768,2820786575,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:28.179458+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p026_clean.png,data/processed/masks/p026_loss_large_mask.png,p026__loss_large__size_06pct_mask.png,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_06pct_mask.png,p026__loss_large__size_06pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_06pct_damaged.png,48819acb8a3147c0230f636c58eaaa127b2bdde3b71bb7e4f101b4e2ac97b3ee,8ef7cd4b93472ee54a398d00371049aa7208ab828d6a838dc40f7590546bec90,37eabb715d65c8e705fcefaa3da16811e796b0ec2168c468ff9d0a8da788a44e,74cc74cbb9dc6dbf55460d72dd2efe3c4b991f94383a0954d427bdc09d1db724,1927,723046,ok,,Rijksmuseum,View of a Village along a River,attributed to Jan Brueghel I,architecture_structured,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p026__loss_large__size_08pct,p026,p026_loss_large,loss_large,p026__loss_large__size_08pct__mask,8.0,32502,32448,7.986767485822306,5.501302083333333,-0.013232514177693666,0.013232514177693666,54,0.7848150126561677,52670,12.964221014492754,8.92978244357639,406272,0,119,768,648,768,768,2820786575,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:28.519624+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p026_clean.png,data/processed/masks/p026_loss_large_mask.png,p026__loss_large__size_08pct_mask.png,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_08pct_mask.png,p026__loss_large__size_08pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_08pct_damaged.png,48819acb8a3147c0230f636c58eaaa127b2bdde3b71bb7e4f101b4e2ac97b3ee,8ef7cd4b93472ee54a398d00371049aa7208ab828d6a838dc40f7590546bec90,0fdbba0af2c98ef80a003bc40d8f2c239b9a7b4741ac88bcc462938074172493,bbd975fe27cb1c16aee288f3a330b6e9c1338ebc35065fa09b788f584204624a,2186,710709,ok,,Rijksmuseum,View of a Village along a River,attributed to Jan Brueghel I,architecture_structured,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p026__loss_large__size_10pct,p026,p026_loss_large,loss_large,p026__loss_large__size_10pct__mask,10.0,40627,40622,9.998720069313169,6.887139214409722,-0.0012799306868309657,0.0012799306868309657,5,0.8780776694147632,52670,12.964221014492754,8.92978244357639,406272,0,119,768,648,768,768,2820786575,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:28.862733+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p026_clean.png,data/processed/masks/p026_loss_large_mask.png,p026__loss_large__size_10pct_mask.png,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_10pct_mask.png,p026__loss_large__size_10pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_10pct_damaged.png,48819acb8a3147c0230f636c58eaaa127b2bdde3b71bb7e4f101b4e2ac97b3ee,8ef7cd4b93472ee54a398d00371049aa7208ab828d6a838dc40f7590546bec90,8501d0097c0b75dafbc9832e475eb0d9e0041cedfeed28e4145e3711a4558d5d,4a3145aaaaa579b1bc89b9bf6625de1a0e96f5d7dac2f49523bef7629cf29b4d,2315,697483,ok,,Rijksmuseum,View of a Village along a River,attributed to Jan Brueghel I,architecture_structured,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p026__loss_large__size_15pct,p026,p026_loss_large,loss_large,p026__loss_large__size_15pct__mask,15.0,60941,60957,15.00398747637051,10.33477783203125,0.003987476370509668,0.003987476370509668,16,1.0754255340570578,52670,12.964221014492754,8.92978244357639,406272,0,119,768,648,768,768,2820786575,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:29.201240+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p026_clean.png,data/processed/masks/p026_loss_large_mask.png,p026__loss_large__size_15pct_mask.png,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_15pct_mask.png,p026__loss_large__size_15pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_15pct_damaged.png,48819acb8a3147c0230f636c58eaaa127b2bdde3b71bb7e4f101b4e2ac97b3ee,8ef7cd4b93472ee54a398d00371049aa7208ab828d6a838dc40f7590546bec90,732474090a278371dc14ac8a0b91ab2466ded8fadceec861613b38b91c692e13,a241b61fd52ab99b3e11842fefaf224000aa095a6bfa453ff523bcbe04df920c,2662,663017,ok,,Rijksmuseum,View of a Village along a River,attributed to Jan Brueghel I,architecture_structured,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
