case_id,effect_mask_sha256_canonical,degraded_sha256_canonical,operator_parameters_json_canonical,case_seed_canonical,generator_name_canonical,generator_version_canonical,effect_mask_sha256_regenerated,degraded_sha256_regenerated,operator_parameters_json_regenerated,case_seed_regenerated,generator_name_regenerated,generator_version_regenerated,_merge,effect_mask_checksum_match,degraded_checksum_match,operator_parameters_match,case_seed_match,generator_name_match,generator_version_match,deterministic_match
p001__fading__mild,101a6662f76b2d3f46b5fabd3be1c7620777fb02b38ce95d2e7f8ab6f2a31f92,f5954831327820fbd47ce5205e81502fe5d87436ea0ef9d2f90e57251f2b9a43,"[{""brightness_factor"": 1.03, ""contrast_factor"": 0.94, ""degradation_type"": ""fading"", ""operator_seed"": 276722396, ""saturation_factor"": 0.82, ""seed"": 3094101212}]",232348497,synthetic_degradation,1.0.0,101a6662f76b2d3f46b5fabd3be1c7620777fb02b38ce95d2e7f8ab6f2a31f92,f5954831327820fbd47ce5205e81502fe5d87436ea0ef9d2f90e57251f2b9a43,"[{""brightness_factor"": 1.03, ""contrast_factor"": 0.94, ""degradation_type"": ""fading"", ""operator_seed"": 276722396, ""saturation_factor"": 0.82, ""seed"": 3094101212}]",232348497,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__fading__moderate,61255eabb5f3d92bd7b05d0033c1f4a9b2d322e8f27c656713b5de04bbd82ef9,dc6294b8671a9d0ab7b35e32197dad938e7d5f0777f3e2fa81593a4c8e3e08f9,"[{""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 3888891329, ""saturation_factor"": 0.62, ""seed"": 4035221635}]",3389216376,synthetic_degradation,1.0.0,61255eabb5f3d92bd7b05d0033c1f4a9b2d322e8f27c656713b5de04bbd82ef9,dc6294b8671a9d0ab7b35e32197dad938e7d5f0777f3e2fa81593a4c8e3e08f9,"[{""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 3888891329, ""saturation_factor"": 0.62, ""seed"": 4035221635}]",3389216376,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__fading__severe,4ea5a4d9529b51fd2d4d1437b9b8717912fca32107d32049d281496f7850173f,c028382dcd93d99ad5d3d4142703e913c8337f84ce3a41cd59179ce555f74615,"[{""brightness_factor"": 1.12, ""contrast_factor"": 0.76, ""degradation_type"": ""fading"", ""operator_seed"": 3940766665, ""saturation_factor"": 0.42, ""seed"": 2971608850}]",753224761,synthetic_degradation,1.0.0,4ea5a4d9529b51fd2d4d1437b9b8717912fca32107d32049d281496f7850173f,c028382dcd93d99ad5d3d4142703e913c8337f84ce3a41cd59179ce555f74615,"[{""brightness_factor"": 1.12, ""contrast_factor"": 0.76, ""degradation_type"": ""fading"", ""operator_seed"": 3940766665, ""saturation_factor"": 0.42, ""seed"": 2971608850}]",753224761,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__fading_discolouration__moderate,8961cd0e244c573e4e9fce585002834042eb96baeb36fd02e79db18165f9e090,4e9696fcf58b651808005cd806f8d0c2601c6f9ef296588a1107ce0e685972d5,"[{""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 3843764787, ""saturation_factor"": 0.62, ""seed"": 2891575035}, {""channel_scale_b"": 0.86, ""channel_scale_g"": 0.97, ""channel_scale_r"": 1.09, ""degradation_type"": ""discolouration"", ""operator_seed"": 3236776284, ""seed"": 2094745133}]",531186882,synthetic_degradation,1.0.0,8961cd0e244c573e4e9fce585002834042eb96baeb36fd02e79db18165f9e090,4e9696fcf58b651808005cd806f8d0c2601c6f9ef296588a1107ce0e685972d5,"[{""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 3843764787, ""saturation_factor"": 0.62, ""seed"": 2891575035}, {""channel_scale_b"": 0.86, ""channel_scale_g"": 0.97, ""channel_scale_r"": 1.09, ""degradation_type"": ""discolouration"", ""operator_seed"": 3236776284, ""seed"": 2094745133}]",531186882,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__partial_transparency__mild,a9124bbe4b9054f21f321f0812a6b04af1c28c10a8d3e43d3dd00cad7dba5081,5cc711c247291911fbe036a72e796d8b717f2d89bb593cd6155761d0b663eda1,"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 638513229, ""seed"": 2324000800, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.12}]",2349117732,synthetic_degradation,1.0.0,a9124bbe4b9054f21f321f0812a6b04af1c28c10a8d3e43d3dd00cad7dba5081,5cc711c247291911fbe036a72e796d8b717f2d89bb593cd6155761d0b663eda1,"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 638513229, ""seed"": 2324000800, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.12}]",2349117732,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__partial_transparency__moderate,a52ddb001983e6265d4bdafb3a1ed3ef9d94ecfff88db9f98691931455d125fe,e9f4f6aa989115149ff22e1ba61905f6bf9773317e08a42cd55863b8eb211212,"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 4004581363, ""seed"": 853717800, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.24}]",2627682255,synthetic_degradation,1.0.0,a52ddb001983e6265d4bdafb3a1ed3ef9d94ecfff88db9f98691931455d125fe,e9f4f6aa989115149ff22e1ba61905f6bf9773317e08a42cd55863b8eb211212,"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 4004581363, ""seed"": 853717800, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.24}]",2627682255,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__partial_transparency__severe,89cbb3c0feb8785b6e1d3d8c3a5ba75a5d019f7eb2d2b68ae98670e80ce0bb1d,3fe756a941bb3856f15035961ece559e3bfe6650944d19bf2d610895ae90bf33,"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 3864154665, ""seed"": 3291870686, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.4}]",2136551061,synthetic_degradation,1.0.0,89cbb3c0feb8785b6e1d3d8c3a5ba75a5d019f7eb2d2b68ae98670e80ce0bb1d,3fe756a941bb3856f15035961ece559e3bfe6650944d19bf2d610895ae90bf33,"[{""degradation_type"": ""partial_transparency"", ""operator_seed"": 3864154665, ""seed"": 3291870686, ""substrate_colour_rgb"": [196, 178, 145], ""transparency_alpha"": 0.4}]",2136551061,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__water_stain__mild,e171df4f4659322b454d21eb32cdc4849a901d97787580aa154b38f0e5091dd6,cff4241aa4ab8e99abe0d4d8e8f566adc459f9d9e4d857bbc7b0219b7310b1fd,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 4168109318, ""ring_strength"": 0.18, ""seed"": 2204824664, ""stain_colour_rgb"": [142, 104, 58], ""stain_opacity"": 0.18}]",3522301982,synthetic_degradation,1.0.0,e171df4f4659322b454d21eb32cdc4849a901d97787580aa154b38f0e5091dd6,cff4241aa4ab8e99abe0d4d8e8f566adc459f9d9e4d857bbc7b0219b7310b1fd,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 4168109318, ""ring_strength"": 0.18, ""seed"": 2204824664, ""stain_colour_rgb"": [142, 104, 58], ""stain_opacity"": 0.18}]",3522301982,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__water_stain__moderate,24fc28f13a5a9fd70fd963dbb0ab84c2ecc3ed20d829cf5437d84c84aabec57e,304461ccf5a0780b8b89521a2c28e145f8aabaf792c6ede74357da1ee5eef3e8,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 421443941, ""ring_strength"": 0.28, ""seed"": 2758650449, ""stain_colour_rgb"": [132, 91, 45], ""stain_opacity"": 0.28}]",2318883541,synthetic_degradation,1.0.0,24fc28f13a5a9fd70fd963dbb0ab84c2ecc3ed20d829cf5437d84c84aabec57e,304461ccf5a0780b8b89521a2c28e145f8aabaf792c6ede74357da1ee5eef3e8,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 421443941, ""ring_strength"": 0.28, ""seed"": 2758650449, ""stain_colour_rgb"": [132, 91, 45], ""stain_opacity"": 0.28}]",2318883541,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__water_stain__severe,bf2aa9caba208fe9b9f7766875ad7b116d875baab3b54ad6aa031161470cdf24,2bebca226c1b2fa099be50c7f2c81621b02dd216c3c2ba8d9e39c5b5573ab1b1,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 4199241732, ""ring_strength"": 0.38, ""seed"": 3357504631, ""stain_colour_rgb"": [116, 72, 34], ""stain_opacity"": 0.4}]",739023769,synthetic_degradation,1.0.0,bf2aa9caba208fe9b9f7766875ad7b116d875baab3b54ad6aa031161470cdf24,2bebca226c1b2fa099be50c7f2c81621b02dd216c3c2ba8d9e39c5b5573ab1b1,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 4199241732, ""ring_strength"": 0.38, ""seed"": 3357504631, ""stain_colour_rgb"": [116, 72, 34], ""stain_opacity"": 0.4}]",739023769,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__water_stain_dirt__moderate,22371ac831cc2f1fdea6531dbbba53048502cec4a4e6c05a770d43e5cdf70fa0,fefb156022605272389412a73811d0cd98b17cc64917aadd45abcf810a1b8ee9,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 2562623618, ""ring_strength"": 0.28, ""seed"": 2816271946, ""stain_colour_rgb"": [132, 91, 45], ""stain_opacity"": 0.28}, {""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.1, ""operator_seed"": 3210629971, ""particle_count_estimate"": 87376, ""particle_density"": 0.00045, ""particle_opacity"": 0.36, ""particle_radius_max"": 5, ""particle_radius_min"": 1, ""seed"": 1019364838}]",203939778,synthetic_degradation,1.0.0,22371ac831cc2f1fdea6531dbbba53048502cec4a4e6c05a770d43e5cdf70fa0,fefb156022605272389412a73811d0cd98b17cc64917aadd45abcf810a1b8ee9,"[{""degradation_type"": ""water_stain"", ""operator_seed"": 2562623618, ""ring_strength"": 0.28, ""seed"": 2816271946, ""stain_colour_rgb"": [132, 91, 45], ""stain_opacity"": 0.28}, {""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.1, ""operator_seed"": 3210629971, ""particle_count_estimate"": 87376, ""particle_density"": 0.00045, ""particle_opacity"": 0.36, ""particle_radius_max"": 5, ""particle_radius_min"": 1, ""seed"": 1019364838}]",203939778,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
