case_id,variant_id,robustness_group_id,painting_id,base_mask_type,variant_index,target_percentage_content,global_seed,seed_policy,expected_mask_filename,expected_damaged_filename
p001__scratch_thin__variant_01,p001__scratch_thin__variant_01,p001__scratch_thin,p001,scratch_thin,1,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__scratch_thin__variant_01_mask.png,p001__scratch_thin__variant_01_damaged.png
p026__scratch_thin__variant_01,p026__scratch_thin__variant_01,p026__scratch_thin,p026,scratch_thin,1,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__scratch_thin__variant_01_mask.png,p026__scratch_thin__variant_01_damaged.png
p026__scratch_thin__variant_02,p026__scratch_thin__variant_02,p026__scratch_thin,p026,scratch_thin,2,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__scratch_thin__variant_02_mask.png,p026__scratch_thin__variant_02_damaged.png
p026__scratch_thin__variant_03,p026__scratch_thin__variant_03,p026__scratch_thin,p026,scratch_thin,3,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__scratch_thin__variant_03_mask.png,p026__scratch_thin__variant_03_damaged.png
p026__scratch_thin__variant_04,p026__scratch_thin__variant_04,p026__scratch_thin,p026,scratch_thin,4,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__scratch_thin__variant_04_mask.png,p026__scratch_thin__variant_04_damaged.png
p026__scratch_thin__variant_05,p026__scratch_thin__variant_05,p026__scratch_thin,p026,scratch_thin,5,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__scratch_thin__variant_05_mask.png,p026__scratch_thin__variant_05_damaged.png
p026__loss_small__variant_01,p026__loss_small__variant_01,p026__loss_small,p026,loss_small,1,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_small__variant_01_mask.png,p026__loss_small__variant_01_damaged.png
p026__loss_small__variant_02,p026__loss_small__variant_02,p026__loss_small,p026,loss_small,2,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_small__variant_02_mask.png,p026__loss_small__variant_02_damaged.png
p026__loss_small__variant_03,p026__loss_small__variant_03,p026__loss_small,p026,loss_small,3,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_small__variant_03_mask.png,p026__loss_small__variant_03_damaged.png
p026__loss_small__variant_04,p026__loss_small__variant_04,p026__loss_small,p026,loss_small,4,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_small__variant_04_mask.png,p026__loss_small__variant_04_damaged.png
p026__loss_small__variant_05,p026__loss_small__variant_05,p026__loss_small,p026,loss_small,5,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_small__variant_05_mask.png,p026__loss_small__variant_05_damaged.png
p026__loss_large__variant_01,p026__loss_large__variant_01,p026__loss_large,p026,loss_large,1,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_large__variant_01_mask.png,p026__loss_large__variant_01_damaged.png
p026__loss_large__variant_02,p026__loss_large__variant_02,p026__loss_large,p026,loss_large,2,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_large__variant_02_mask.png,p026__loss_large__variant_02_damaged.png
p026__loss_large__variant_03,p026__loss_large__variant_03,p026__loss_large,p026,loss_large,3,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_large__variant_03_mask.png,p026__loss_large__variant_03_damaged.png
p026__loss_large__variant_04,p026__loss_large__variant_04,p026__loss_large,p026,loss_large,4,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_large__variant_04_mask.png,p026__loss_large__variant_04_damaged.png
p026__loss_large__variant_05,p026__loss_large__variant_05,p026__loss_large,p026,loss_large,5,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p026__loss_large__variant_05_mask.png,p026__loss_large__variant_05_damaged.png
p039__scratch_thin__variant_01,p039__scratch_thin__variant_01,p039__scratch_thin,p039,scratch_thin,1,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__scratch_thin__variant_01_mask.png,p039__scratch_thin__variant_01_damaged.png
p039__scratch_thin__variant_02,p039__scratch_thin__variant_02,p039__scratch_thin,p039,scratch_thin,2,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__scratch_thin__variant_02_mask.png,p039__scratch_thin__variant_02_damaged.png
p039__scratch_thin__variant_03,p039__scratch_thin__variant_03,p039__scratch_thin,p039,scratch_thin,3,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__scratch_thin__variant_03_mask.png,p039__scratch_thin__variant_03_damaged.png
p039__scratch_thin__variant_04,p039__scratch_thin__variant_04,p039__scratch_thin,p039,scratch_thin,4,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__scratch_thin__variant_04_mask.png,p039__scratch_thin__variant_04_damaged.png
p039__scratch_thin__variant_05,p039__scratch_thin__variant_05,p039__scratch_thin,p039,scratch_thin,5,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__scratch_thin__variant_05_mask.png,p039__scratch_thin__variant_05_damaged.png
p039__loss_small__variant_01,p039__loss_small__variant_01,p039__loss_small,p039,loss_small,1,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_small__variant_01_mask.png,p039__loss_small__variant_01_damaged.png
p039__loss_small__variant_02,p039__loss_small__variant_02,p039__loss_small,p039,loss_small,2,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_small__variant_02_mask.png,p039__loss_small__variant_02_damaged.png
p039__loss_small__variant_03,p039__loss_small__variant_03,p039__loss_small,p039,loss_small,3,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_small__variant_03_mask.png,p039__loss_small__variant_03_damaged.png
p039__loss_small__variant_04,p039__loss_small__variant_04,p039__loss_small,p039,loss_small,4,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_small__variant_04_mask.png,p039__loss_small__variant_04_damaged.png
p039__loss_small__variant_05,p039__loss_small__variant_05,p039__loss_small,p039,loss_small,5,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_small__variant_05_mask.png,p039__loss_small__variant_05_damaged.png
p039__loss_large__variant_01,p039__loss_large__variant_01,p039__loss_large,p039,loss_large,1,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_large__variant_01_mask.png,p039__loss_large__variant_01_damaged.png
p039__loss_large__variant_02,p039__loss_large__variant_02,p039__loss_large,p039,loss_large,2,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_large__variant_02_mask.png,p039__loss_large__variant_02_damaged.png
p039__loss_large__variant_03,p039__loss_large__variant_03,p039__loss_large,p039,loss_large,3,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_large__variant_03_mask.png,p039__loss_large__variant_03_damaged.png
p039__loss_large__variant_04,p039__loss_large__variant_04,p039__loss_large,p039,loss_large,4,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_large__variant_04_mask.png,p039__loss_large__variant_04_damaged.png
p039__loss_large__variant_05,p039__loss_large__variant_05,p039__loss_large,p039,loss_large,5,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p039__loss_large__variant_05_mask.png,p039__loss_large__variant_05_damaged.png
p043__scratch_thin__variant_01,p043__scratch_thin__variant_01,p043__scratch_thin,p043,scratch_thin,1,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__scratch_thin__variant_01_mask.png,p043__scratch_thin__variant_01_damaged.png
p043__scratch_thin__variant_02,p043__scratch_thin__variant_02,p043__scratch_thin,p043,scratch_thin,2,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__scratch_thin__variant_02_mask.png,p043__scratch_thin__variant_02_damaged.png
p043__scratch_thin__variant_03,p043__scratch_thin__variant_03,p043__scratch_thin,p043,scratch_thin,3,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__scratch_thin__variant_03_mask.png,p043__scratch_thin__variant_03_damaged.png
p043__scratch_thin__variant_04,p043__scratch_thin__variant_04,p043__scratch_thin,p043,scratch_thin,4,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__scratch_thin__variant_04_mask.png,p043__scratch_thin__variant_04_damaged.png
p043__scratch_thin__variant_05,p043__scratch_thin__variant_05,p043__scratch_thin,p043,scratch_thin,5,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__scratch_thin__variant_05_mask.png,p043__scratch_thin__variant_05_damaged.png
p043__loss_small__variant_01,p043__loss_small__variant_01,p043__loss_small,p043,loss_small,1,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_small__variant_01_mask.png,p043__loss_small__variant_01_damaged.png
p043__loss_small__variant_02,p043__loss_small__variant_02,p043__loss_small,p043,loss_small,2,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_small__variant_02_mask.png,p043__loss_small__variant_02_damaged.png
p043__loss_small__variant_03,p043__loss_small__variant_03,p043__loss_small,p043,loss_small,3,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_small__variant_03_mask.png,p043__loss_small__variant_03_damaged.png
p043__loss_small__variant_04,p043__loss_small__variant_04,p043__loss_small,p043,loss_small,4,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_small__variant_04_mask.png,p043__loss_small__variant_04_damaged.png
p043__loss_small__variant_05,p043__loss_small__variant_05,p043__loss_small,p043,loss_small,5,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_small__variant_05_mask.png,p043__loss_small__variant_05_damaged.png
p043__loss_large__variant_01,p043__loss_large__variant_01,p043__loss_large,p043,loss_large,1,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_large__variant_01_mask.png,p043__loss_large__variant_01_damaged.png
p043__loss_large__variant_02,p043__loss_large__variant_02,p043__loss_large,p043,loss_large,2,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_large__variant_02_mask.png,p043__loss_large__variant_02_damaged.png
p043__loss_large__variant_03,p043__loss_large__variant_03,p043__loss_large,p043,loss_large,3,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_large__variant_03_mask.png,p043__loss_large__variant_03_damaged.png
p043__loss_large__variant_04,p043__loss_large__variant_04,p043__loss_large,p043,loss_large,4,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_large__variant_04_mask.png,p043__loss_large__variant_04_damaged.png
p043__loss_large__variant_05,p043__loss_large__variant_05,p043__loss_large,p043,loss_large,5,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p043__loss_large__variant_05_mask.png,p043__loss_large__variant_05_damaged.png
