case_id,painting_id,mask_id,mask_type,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,model_name,restoration_method,hf_model_id,inference_mode,restored_filename,restored_path,prompt,negative_prompt,seed,num_inference_steps,guidance_scale,inference_size,device,case_runtime_seconds,restored_width,restored_height,restored_mode,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,selection_reason,visual_figure_path
p041_loss_large,p041,p041_loss_large,loss_large,p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,p041_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_loss_large_mask.png,p041_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_loss_large_damaged.png,white_fill,255,255,255,67806,14.4499,11.496,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p041_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p041_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.755370399914682,768,768,RGB,Wheat Field with Cypresses,Vincent van Gogh,1889,high_texture_brushwork,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p041_loss_large_stable_diffusion_restoration.png
p041_loss_small,p041,p041_loss_small,loss_small,p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,p041_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_loss_small_mask.png,p041_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_loss_small_damaged.png,white_fill,255,255,255,19064,4.0627,3.2322,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p041_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p041_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.20371269993484,768,768,RGB,Wheat Field with Cypresses,Vincent van Gogh,1889,high_texture_brushwork,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p041_loss_small_stable_diffusion_restoration.png
p041_mixed_damage,p041,p041_mixed_damage,mixed_damage,p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,p041_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_mixed_damage_mask.png,p041_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_mixed_damage_damaged.png,white_fill,255,255,255,41902,8.9296,7.1042,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p041_mixed_damage_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p041_mixed_damage_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.46210949961096,768,768,RGB,Wheat Field with Cypresses,Vincent van Gogh,1889,high_texture_brushwork,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p041_mixed_damage_stable_diffusion_restoration.png
p041_scratch_thin,p041,p041_scratch_thin,scratch_thin,p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,p041_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_scratch_thin_mask.png,p041_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_scratch_thin_damaged.png,white_fill,255,255,255,11793,2.5132,1.9994,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p041_scratch_thin_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p041_scratch_thin_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.353273800574243,768,768,RGB,Wheat Field with Cypresses,Vincent van Gogh,1889,high_texture_brushwork,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p041_scratch_thin_stable_diffusion_restoration.png
p041_zero_control,p041,p041_zero_control,zero_control,p041_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p041_clean.png,p041_zero_control_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p041_zero_control_mask.png,p041_zero_control_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p041_zero_control_damaged.png,white_fill,255,255,255,0,0.0,0.0,ok,zero_control copied without model inference,stable_diffusion_inpainting,zero_control_copy,runwayml/stable-diffusion-inpainting,copied_zero_control,p041_zero_control_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p041_zero_control_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,none,0.0,768,768,RGB,Wheat Field with Cypresses,Vincent van Gogh,1889,high_texture_brushwork,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,Zero-control sanity example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p041_zero_control_stable_diffusion_restoration.png
p011_loss_large,p011,p011_loss_large,loss_large,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,p011_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_loss_large_mask.png,p011_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_loss_large_damaged.png,white_fill,255,255,255,49885,12.302,8.4576,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p011_loss_large_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p011_loss_large_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.496134699322283,768,768,RGB,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p011_loss_large_stable_diffusion_restoration.png
p011_loss_small,p011,p011_loss_small,loss_small,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,p011_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_loss_small_mask.png,p011_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_loss_small_damaged.png,white_fill,255,255,255,24080,5.9383,4.0826,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p011_loss_small_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p011_loss_small_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.071375300176442,768,768,RGB,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p011_loss_small_stable_diffusion_restoration.png
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,p011_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_mixed_damage_mask.png,p011_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_mixed_damage_damaged.png,white_fill,255,255,255,44361,10.9397,7.5211,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p011_mixed_damage_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p011_mixed_damage_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,8.882437699474394,768,768,RGB,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p011_mixed_damage_stable_diffusion_restoration.png
p011_scratch_thin,p011,p011_scratch_thin,scratch_thin,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,p011_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_scratch_thin_mask.png,p011_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_scratch_thin_damaged.png,white_fill,255,255,255,10323,2.5457,1.7502,ok,,stable_diffusion_inpainting,stable_diffusion_inpainting,runwayml/stable-diffusion-inpainting,model_inference,p011_scratch_thin_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p011_scratch_thin_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,cuda,7.702985899522901,768,768,RGB,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,Representative category-mask example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p011_scratch_thin_stable_diffusion_restoration.png
p011_zero_control,p011,p011_zero_control,zero_control,p011_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p011_clean.png,p011_zero_control_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p011_zero_control_mask.png,p011_zero_control_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p011_zero_control_damaged.png,white_fill,255,255,255,0,0.0,0.0,ok,zero_control copied without model inference,stable_diffusion_inpainting,zero_control_copy,runwayml/stable-diffusion-inpainting,copied_zero_control,p011_zero_control_restored_stable_diffusion_inpainting.png,data/processed/restored/stable_diffusion_inpainting/p011_zero_control_restored_stable_diffusion_inpainting.png,"restore the missing damaged area of the painting, preserve the original style, colors, brushwork, composition, and surrounding visual context","modern objects, text, watermark, signature, frame, border, people added, face changed, extra objects, oversharpened, cartoon, digital art, photorealistic, unrealistic texture",2026,30,7.5,512,none,0.0,768,768,RGB,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436558,Public Domain / Open Access,p011.jpg,Zero-control sanity example,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\stable_diffusion_restoration_selected_cases\p011_zero_control_stable_diffusion_restoration.png
