painting_id,filename,category,source,file_path,file_extension,file_size_bytes,file_exists,image_readable,metadata_width,metadata_height,actual_width,actual_height,width_matches_metadata,height_matches_metadata,image_mode,image_format,issue
p019,p019.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p019.jpg,.jpg,2855566,True,True,3241,3697,3241,3697,True,True,RGB,JPEG,
p020,p020.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p020.jpg,.jpg,1631322,True,True,3508,2416,3508,2416,True,True,RGB,JPEG,
p021,p021.jpg,architecture_structured,Rijksmuseum,data\raw\images\p021.jpg,.jpg,4791297,True,True,4435,5246,4435,5246,True,True,RGB,JPEG,
p022,p022.jpg,architecture_structured,Rijksmuseum,data\raw\images\p022.jpg,.jpg,4632927,True,True,4156,5341,4156,5341,True,True,RGB,JPEG,
p023,p023.jpg,architecture_structured,Rijksmuseum,data\raw\images\p023.jpg,.jpg,5751291,True,True,5072,7086,5072,7086,True,True,RGB,JPEG,
p024,p024.jpg,architecture_structured,Rijksmuseum,data\raw\images\p024.jpg,.jpg,1150761,True,True,2882,3700,2882,3700,True,True,RGB,JPEG,
p025,p025.jpg,architecture_structured,Rijksmuseum,data\raw\images\p025.jpg,.jpg,5132267,True,True,5595,4661,5595,4661,True,True,RGB,JPEG,
p026,p026.jpg,architecture_structured,Rijksmuseum,data\raw\images\p026.jpg,.jpg,4073735,True,True,5856,4032,5856,4032,True,True,RGB,JPEG,
p027,p027.jpg,architecture_structured,Rijksmuseum,data\raw\images\p027.jpg,.jpg,5086570,True,True,5466,4278,5466,4278,True,True,RGB,JPEG,
p028,p028.jpg,architecture_structured,Rijksmuseum,data\raw\images\p028.jpg,.jpg,6993862,True,True,7308,5057,7308,5057,True,True,RGB,JPEG,
p029,p029.jpg,architecture_structured,Rijksmuseum,data\raw\images\p029.jpg,.jpg,5741750,True,True,6166,4010,6166,4010,True,True,RGB,JPEG,
p030,p030.jpg,architecture_structured,Rijksmuseum,data\raw\images\p030.jpg,.jpg,5906919,True,True,7320,4811,7320,4811,True,True,RGB,JPEG,
p031,p031.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p031.jpg,.jpg,3076602,True,True,2987,3000,2987,3000,True,True,RGB,JPEG,
p032,p032.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p032.jpg,.jpg,955425,True,True,2182,2250,2182,2250,True,True,RGB,JPEG,
p033,p033.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p033.jpg,.jpg,3432040,True,True,2981,3000,2981,3000,True,True,RGB,JPEG,
p034,p034.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p034.jpg,.jpg,1621605,True,True,2417,2250,2417,2250,True,True,RGB,JPEG,
p035,p035.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p035.jpg,.jpg,2994545,True,True,2072,3000,2072,3000,True,True,RGB,JPEG,
p036,p036.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p036.jpg,.jpg,703548,True,True,3000,3000,3000,3000,True,True,RGB,JPEG,
p037,p037.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p037.jpg,.jpg,1741317,True,True,3000,2261,3000,2261,True,True,RGB,JPEG,
p038,p038.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p038.jpg,.jpg,2921054,True,True,3000,2238,3000,2238,True,True,RGB,JPEG,
p039,p039.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p039.jpg,.jpg,2115654,True,True,3000,2202,3000,2202,True,True,RGB,JPEG,
p040,p040.jpg,abstraction_surrealism,Art Institute of Chicago,data\raw\images\p040.jpg,.jpg,1969163,True,True,2920,2250,2920,2250,True,True,RGB,JPEG,
p041,p041.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p041.jpg,.jpg,8291194,True,True,4000,3184,4000,3184,True,True,RGB,JPEG,
p042,p042.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p042.jpg,.jpg,1865727,True,True,1957,1258,1957,1258,True,True,RGB,JPEG,
p043,p043.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p043.jpg,.jpg,3041782,True,True,3909,3112,3909,3112,True,True,RGB,JPEG,
p044,p044.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p044.jpg,.jpg,6073288,True,True,4000,3339,4000,3339,True,True,RGB,JPEG,
p045,p045.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p045.jpg,.jpg,3783674,True,True,3212,3848,3212,3848,True,True,RGB,JPEG,
p046,p046.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p046.jpg,.jpg,5619793,True,True,4000,3052,4000,3052,True,True,RGB,JPEG,
p047,p047.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p047.jpg,.jpg,5207233,True,True,3710,4000,3710,4000,True,True,RGB,JPEG,
p048,p048.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p048.jpg,.jpg,2423667,True,True,3863,3083,3863,3083,True,True,RGB,JPEG,
p049,p049.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p049.jpg,.jpg,1728208,True,True,2514,4000,2514,4000,True,True,RGB,JPEG,
p050,p050.jpg,high_texture_brushwork,The Metropolitan Museum of Art,data\raw\images\p050.jpg,.jpg,5081077,True,True,3033,4000,3033,4000,True,True,RGB,JPEG,
