artifact_key,artifact_stage,batch,artifact_type,path,required,notes,exists,size_bytes,file_count,row_count,column_count,columns,sha256,modified_at_utc
batch4_validation,notebook_output,batch4,csv,outputs/22_stable_diffusion_classical_metrics/validation/batch4_analysis_validation.csv,True,"Batch 4 summary, selected-case, and figure validation.",True,1947,0,14,5,check_name | observed | expected | passed | failure_message,2a03ab0e374d012f9b4243bfb25d10db6e65ae4f6a3a4a61e1b5ec41c767369f,2026-08-07T18:40:20.342316+00:00
classical_metrics_summary,notebook_output,batch4,csv,outputs/22_stable_diffusion_classical_metrics/analysis/stable_diffusion_classical_metrics_summary.csv,True,Single consolidated summary table with summary_scope column.,True,25706,0,135,24,summary_scope | summary_group | evaluation_region | mask_type | category | prompt_policy_id | prompt_variant_id | rows | cases | mean_mse_improvement | mean_mae_improvement | mean_psnr_improvement | mean_ssim_improvement | mean_damaged_mse | mean_restored_mse | mean_damaged_mae | mean_restored_mae | mean_damaged_psnr | mean_restored_psnr | mean_damaged_ssim | mean_restored_ssim | mean_region_pixel_count | summary_built_at_utc | metric_version,c7c8f5fadb3d0e564425bcba8ab36dfbe999949894c5084d782f7e029339abb1,2026-08-07T18:39:57.135905+00:00
selected_cases,notebook_output,batch4,csv,outputs/22_stable_diffusion_classical_metrics/analysis/stable_diffusion_classical_metric_selected_cases.csv,True,Representative cases for visual/diagnostic review.,True,15579,0,11,65,selected_case_index | selection_reason | selection_reasons | selection_priority | selection_rank | candidate_id | restoration_case_id | case_id | painting_id | category | title | mask_type | prompt_policy_id | prompt_variant_id | prompt_template_name | candidate_seed | evaluation_region | mse_improvement | mae_improvement | psnr_improvement | ssim_improvement | clean_path | damaged_path | mask_path | restored_path | dataset_name | mask_id | model_name | source_case_key | source_case_id | source_case_id_original | prompt_ablation_subset | candidate_index | effective_candidate_seed | inference_mode | execution_device | cuda_device_name | restoration_generator_version | region_pixel_count | region_x_min | region_y_min | region_x_max | region_y_max | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | damaged_mse | restored_mse | damaged_mae | restored_mae | damaged_psnr | restored_psnr | damaged_ssim | restored_ssim | metric_module | metric_version | metric_timestamp_utc | python_version | numpy_version | pandas_version | skimage_version | status | issue | selected_at_utc | figure_path,0a68eea1ced2a238a9bbbfa62097b27fb43367038dfc9ad854a702d3f9962439,2026-08-07T18:40:20.278884+00:00
artifact_index,notebook_output,batch5,csv,outputs/22_stable_diffusion_classical_metrics/manifests/stable_diffusion_classical_metrics_artifact_index.csv,True,Final index of important notebook outputs.,True,30938,0,22,15,artifact_key | artifact_stage | batch | artifact_type | path | required | notes | exists | size_bytes | file_count | row_count | column_count | columns | sha256 | modified_at_utc,,2026-08-07T18:57:53.981099+00:00
final_validation,notebook_output,batch5,csv,outputs/22_stable_diffusion_classical_metrics/validation/stable_diffusion_classical_metrics_final_validation.csv,True,End-of-notebook validation checks.,True,2681,0,22,5,check_name | observed | expected | passed | failure_message,17269526586353a4b154008c8198a6791e4d6ce57ba47c561c78d5b6a48cee4a,2026-08-07T18:57:53.325293+00:00
handoff_manifest,notebook_output,batch5,json,outputs/22_stable_diffusion_classical_metrics/manifests/stable_diffusion_classical_metrics_handoff_manifest.json,True,Final manifest for downstream notebooks.,True,3359,0,,,,67bae504d811fb65299c51a15b9dfde0c5afed008fb9d1b372a1e28d91108165,2026-08-07T18:57:53.989144+00:00
metadata_processed_clean,upstream_input,upstream_input,csv,data/processed/metadata/metadata_processed_clean.csv,True,Fallback source for clean paths and painting metadata when needed.,True,30443,0,50,47,painting_id | category | title | artist | date | style_or_period | medium | source | source_url | license | filename | original_width | original_height | selection_reason | visual_complexity_note | status | notes | raw_filename | raw_image_path | processed_filename | processed_path | processed_width | processed_height | target_size | resize_scale | resized_width | resized_height | pad_left | pad_top | pad_right | pad_bottom | padding_color_r | padding_color_g | padding_color_b | content_x_min | content_y_min | content_x_max | content_y_max | content_width | content_height | preprocessing_method | orientation | content_area_pixels | canvas_area_pixels | content_area_percentage | padding_area_pixels | padding_area_percentage,b5f11a01dd3ea1ed14193d4a942f702a2b0cb712d2b8b38e96e2377c0607a4cb,2026-07-24T16:51:41.036555+00:00
notebook21_artifact_index,upstream_input,upstream_input,csv,outputs/21_stable_diffusion_restoration/manifests/stable_diffusion_stage_artifact_index.csv,True,Notebook 21 artifact index.,True,16278,0,34,12,artifact_key | batch | artifact_type | path | required | exists | size_bytes | sha256 | row_count | column_count | columns | notes,7fea070d411a25e03a2bf4b5e35449ca2aca6585b5b4b2f9ac24a6d4d500e72d,2026-08-07T16:45:57.200959+00:00
notebook21_handoff_manifest,upstream_input,upstream_input,json,outputs/21_stable_diffusion_restoration/manifests/stable_diffusion_handoff_manifest.json,True,Notebook 21 final handoff manifest.,True,21956,0,,,,63f9a8a4cb6e3cb60527236737f4f3f653438fcf59a872fc8632fe41c515b115,2026-08-07T16:46:00.435555+00:00
sd_candidate_manifest,upstream_input,upstream_input,csv,outputs/21_stable_diffusion_restoration/stable_diffusion_candidate_manifest.csv,True,"Candidate-level input table, expected 945 rows after Notebook 21.",True,2904218,0,945,224,case_id | painting_id | mask_id | mask_type | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | clean_path | mask_filename | mask_path | damaged_filename | damaged_path | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status | issue | config_version | experiment_name | experiment_version | notebook_stage | source | title | artist | category | dataset_name | source_metadata_path | source_case_key | source_case_id | source_case_id_original | source_row_status | base_mask_id | base_mask_type | sensitivity_mask_id | target_percentage_content | target_pixels | realised_pixels | realised_percentage_content | realised_percentage_full | percentage_error_content | absolute_percentage_error_content | absolute_pixel_error | scale_factor | base_mask_pixels | base_percentage_content | base_percentage_full | content_area_pixels | content_bbox_left | content_bbox_top | content_bbox_right | content_bbox_bottom | deterministic_seed | global_seed | base_mask_path | sensitivity_mask_filename | sensitivity_mask_path | base_mask_sha256 | sensitivity_mask_sha256 | sensitivity_mask_file_size_bytes | full_generation_started_at_utc | full_generation_completed_at_utc | variant_id | robustness_group_id | painting_index | mask_type_index | variant_index | painting_seed | mask_seed | variant_seed | generation_attempt_index | generation_seed | maximum_generation_attempts | generation_area_tolerance | raw_mask_pixels | content_x_min | content_y_min | content_x_max | content_y_max | canvas_area_pixels | padding_area_pixels | actual_mask_area_pixels | damaged_content_pixels | padding_overlap_pixels | actual_mask_area_percentage_content | actual_mask_area_percentage_full | bbox_x_min | bbox_y_min | bbox_x_max | bbox_y_max | bbox_width | bbox_height | bbox_area_pixels | bbox_fill_ratio | bbox_aspect_ratio | connected_component_count | largest_component_pixels | smallest_component_pixels | mean_component_pixels | median_component_pixels | component_area_std_pixels | largest_component_fraction | component_density_per_100k_content_pixels | mean_component_aspect_ratio | maximum_component_aspect_ratio | touches_content_border | minimum_distance_to_content_border_pixels | centroid_x_pixels | centroid_y_pixels | centroid_x_normalised_content | centroid_y_normalised_content | centroid_quadrant | mask_bbox_width_normalised_content | mask_bbox_height_normalised_content | mask_bbox_area_fraction_content_bbox | touches_left_content_border | touches_right_content_border | touches_top_content_border | touches_bottom_content_border | mask_file_size_bytes | mask_generator_name | mask_generator_version | full_generation_finished_at_utc | full_generation_duration_seconds | degradation_type | severity | severity_rank | is_combined | component_degradations | component_count | case_seed | effect_mask_seed | operator_seeds_json | operator_parameters_json | effect_support_pixels | effect_active_pixels | effect_percentage_content | effect_percentage_full | effect_mean_intensity | effect_max_intensity | effect_bbox_x_min | effect_bbox_y_min | effect_bbox_x_max | effect_bbox_y_max | effect_centroid_x | effect_centroid_y | changed_pixels | changed_percentage_full | outside_effect_changed_pixels | inside_effect_changed_pixels | mean_absolute_difference_effect | maximum_absolute_difference | effect_mask_filename | effect_mask_path | degraded_filename | degraded_path | effect_mask_sha256 | degraded_sha256 | effect_mask_file_size_bytes | degraded_file_size_bytes | source_case_index | clean_path_normalized | clean_path_exists | clean_path_in_inventory | damaged_path_normalized | damaged_path_exists | damaged_path_in_inventory | mask_path_normalized | mask_path_exists | mask_path_in_inventory | all_required_paths_present | all_required_files_exist | all_required_paths_in_inventory | source_validation_status | candidate_id | candidate_index | candidate_seed | restoration_case_id | restored_filename | restored_path | prompt_ablation_subset | model_name | restoration_method | hf_model_id | model_revision | prompt_policy_id | prompt_variant_id | prompt_template_name | prompt_variant_family | prompt_variant_order | prompt_template | prompt | negative_prompt | prompt_metadata_fields_used | prompt_metadata_missing_fields | prompt_artist_value | prompt_title_value | prompt_style_period_value | prompt_category_value | scheduler_name | num_inference_steps | guidance_scale | strength | inference_size | precision | mask_binary_threshold | preserve_unmasked_pixels | zero_control_behavior | restoration_generator_name | restoration_generator_version | candidate_created_at_utc,f523cc96a4937b2dbeaa624bcd5e611ccf0eee8f62cdec659aeadd4e7f573156,2026-08-07T12:02:19.620978+00:00
sd_restoration_audit,upstream_input,upstream_input,csv,outputs/21_stable_diffusion_restoration/stable_diffusion_restoration_audit.csv,True,"Generation audit, expected all status ok after final Notebook 21 run.",True,3512362,0,945,282,case_id | painting_id | mask_id | mask_type | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | clean_path | mask_filename | mask_path | damaged_filename | damaged_path | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status | issue | config_version | experiment_name | experiment_version | notebook_stage | source | title | artist | category | dataset_name | source_metadata_path | source_case_key | source_case_id | source_case_id_original | source_row_status | base_mask_id | base_mask_type | sensitivity_mask_id | target_percentage_content | target_pixels | realised_pixels | realised_percentage_content | realised_percentage_full | percentage_error_content | absolute_percentage_error_content | absolute_pixel_error | scale_factor | base_mask_pixels | base_percentage_content | base_percentage_full | content_area_pixels | content_bbox_left | content_bbox_top | content_bbox_right | content_bbox_bottom | deterministic_seed | global_seed | base_mask_path | sensitivity_mask_filename | sensitivity_mask_path | base_mask_sha256 | sensitivity_mask_sha256 | sensitivity_mask_file_size_bytes | full_generation_started_at_utc | full_generation_completed_at_utc | variant_id | robustness_group_id | painting_index | mask_type_index | variant_index | painting_seed | mask_seed | variant_seed | generation_attempt_index | generation_seed | maximum_generation_attempts | generation_area_tolerance | raw_mask_pixels | content_x_min | content_y_min | content_x_max | content_y_max | canvas_area_pixels | padding_area_pixels | actual_mask_area_pixels | damaged_content_pixels | padding_overlap_pixels | actual_mask_area_percentage_content | actual_mask_area_percentage_full | bbox_x_min | bbox_y_min | bbox_x_max | bbox_y_max | bbox_width | bbox_height | bbox_area_pixels | bbox_fill_ratio | bbox_aspect_ratio | connected_component_count | largest_component_pixels | smallest_component_pixels | mean_component_pixels | median_component_pixels | component_area_std_pixels | largest_component_fraction | component_density_per_100k_content_pixels | mean_component_aspect_ratio | maximum_component_aspect_ratio | touches_content_border | minimum_distance_to_content_border_pixels | centroid_x_pixels | centroid_y_pixels | centroid_x_normalised_content | centroid_y_normalised_content | centroid_quadrant | mask_bbox_width_normalised_content | mask_bbox_height_normalised_content | mask_bbox_area_fraction_content_bbox | touches_left_content_border | touches_right_content_border | touches_top_content_border | touches_bottom_content_border | mask_file_size_bytes | mask_generator_name | mask_generator_version | full_generation_finished_at_utc | full_generation_duration_seconds | degradation_type | severity | severity_rank | is_combined | component_degradations | component_count | case_seed | effect_mask_seed | operator_seeds_json | operator_parameters_json | effect_support_pixels | effect_active_pixels | effect_percentage_content | effect_percentage_full | effect_mean_intensity | effect_max_intensity | effect_bbox_x_min | effect_bbox_y_min | effect_bbox_x_max | effect_bbox_y_max | effect_centroid_x | effect_centroid_y | changed_pixels | changed_percentage_full | outside_effect_changed_pixels | inside_effect_changed_pixels | mean_absolute_difference_effect | maximum_absolute_difference | effect_mask_filename | effect_mask_path | degraded_filename | degraded_path | effect_mask_sha256 | degraded_sha256 | effect_mask_file_size_bytes | degraded_file_size_bytes | source_case_index | clean_path_normalized | clean_path_exists | clean_path_in_inventory | damaged_path_normalized | damaged_path_exists | damaged_path_in_inventory | mask_path_normalized | mask_path_exists | mask_path_in_inventory | all_required_paths_present | all_required_files_exist | all_required_paths_in_inventory | source_validation_status | candidate_id | candidate_index | candidate_seed | restoration_case_id | restored_filename | restored_path | prompt_ablation_subset | model_name | restoration_method | hf_model_id | model_revision | prompt_policy_id | prompt_variant_id | prompt_template_name | prompt_variant_family | prompt_variant_order | prompt_template | prompt | negative_prompt | prompt_metadata_fields_used | prompt_metadata_missing_fields | prompt_artist_value | prompt_title_value | prompt_style_period_value | prompt_category_value | scheduler_name | num_inference_steps | guidance_scale | strength | inference_size | precision | mask_binary_threshold | preserve_unmasked_pixels | zero_control_behavior | restoration_generator_name | restoration_generator_version | candidate_created_at_utc | effective_candidate_seed | inference_mode | execution_device | execution_backend | scheduler_class | retry_count | runtime_seconds | started_at_utc | completed_at_utc | output_written | restored_sha256 | restored_width | restored_height | restored_mode | inference_mask_raw_nonzero_pixel_count | inference_mask_thresholded_pixel_count | inference_effective_mask_pixel_count | inference_effective_mask_threshold_policy | inference_mask_gray_min | inference_mask_gray_max | inference_mask_gray_unique_count | composite_mask_raw_nonzero_pixel_count | composite_mask_thresholded_pixel_count | composite_effective_mask_pixel_count | composite_effective_mask_threshold_policy | composite_mask_gray_min | composite_mask_gray_max | composite_mask_gray_unique_count | mask_composite_validation_passed | mask_composite_validation_issue | mask_raw_nonzero_pixel_count | mask_thresholded_pixel_count | effective_mask_pixel_count | effective_mask_threshold_policy | mask_gray_min | mask_gray_max | mask_gray_unique_count | mask_pixel_count | outside_mask_pixel_count | inside_mask_changed | inside_mask_max_abs_diff | outside_mask_exact_match | outside_mask_max_abs_diff | before_cuda_memory_allocated_bytes | before_cuda_memory_reserved_bytes | before_cuda_max_memory_allocated_bytes | after_cuda_memory_allocated_bytes | after_cuda_memory_reserved_bytes | after_cuda_max_memory_allocated_bytes | python_version | operating_system | processor | torch_version | cuda_available | cuda_device_count | cuda_device_name | diffusers_version | attempt_count,21fe39a8e0348541c4e02728368808ee15477a355855e10a9920f3470b07e6c9,2026-08-07T14:25:38.764176+00:00
sd_restoration_validation,upstream_input,upstream_input,csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_restoration_validation.csv,True,Notebook 21 output validation table.,True,438181,0,945,40,restoration_case_id | candidate_id | prompt_policy_id | prompt_variant_id | prompt_ablation_subset | dataset_name | source_case_key | source_case_id | case_id | painting_id | mask_type | status | damaged_exists | mask_exists | restored_exists | restored_width | restored_height | restored_mode | mask_binary_threshold | mask_raw_nonzero_pixel_count | mask_thresholded_pixel_count | effective_mask_pixel_count | effective_mask_threshold_policy | mask_gray_min | mask_gray_max | mask_gray_unique_count | mask_pixel_count | outside_mask_pixel_count | exact_match_to_damaged | changed_from_damaged | mean_abs_diff | max_abs_diff | inside_mask_changed | inside_mask_mean_abs_diff | inside_mask_max_abs_diff | outside_mask_exact_match | outside_mask_mean_abs_diff | outside_mask_max_abs_diff | validation_passed | validation_issue,c9111b91c3d095f265d9d64175ef775eaf98e47ce49e743cff3077c657cb8c96,2026-08-07T14:29:37.132374+00:00
