painting_id,category,title,artist,date,style_or_period,medium,source,source_url,license,filename,original_width,original_height,selection_reason,visual_complexity_note,status,notes
p012,landscape_natural,An Extensive Wooded Landscape,Philips Koninck,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436831,Public Domain / Open Access,p012.jpg,3907,2893,Broad panoramic wooded landscape.,"Trees, sky, cloud detail, and depth.",selected,Met Open Access.
p013,landscape_natural,Landscape with a Village in the Distance,Jacob van Ruisdael,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437545,Public Domain / Open Access,p013.jpg,3811,2649,Sharp-detail landscape with distant village.,Natural scene with strong detail and built element.,selected,Met Open Access.
p014,landscape_natural,Landscape on a River,Charles-François Daubigny,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436081,Public Domain / Open Access,p014.jpg,4000,2266,Riverbank and foliage landscape replacement.,"River, trees, sky, and soft tonal transitions.",selected,Met Open Access replacement.
p015,landscape_natural,Landscape,Henri-Joseph Harpignies,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/337306,Public Domain / Open Access,p015.jpg,2778,3862,Distinct softer landscape case.,Different mood and composition from panoramic cases.,selected,Met Open Access.
p016,landscape_natural,Wooded Landscape with a House beside a River,Thomas Gainsborough,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/343423,Public Domain / Open Access,p016.jpg,3903,2465,Drawing-like wooded landscape.,"Trees, river, and small built structure.",selected,Met Open Access.
p017,landscape_natural,Picturesque Landscape,"Anonymous, British, 18th century",,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/364452,Public Domain / Open Access,p017.jpg,2581,3501,Stylistically different historical landscape.,Distinct visual flavor compared with Dutch/French cases.,selected,Met Open Access.
p018,landscape_natural,Classical Landscape with Figures,Henri Mauperché,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437039,Public Domain / Open Access,p018.jpg,4000,2643,Landscape with clearly defined human figures.,Broad natural setting with small human presence.,selected,Met Open Access.
p019,landscape_natural,Evening: Landscape with an Aqueduct,Théodore Géricault,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436455,Public Domain / Open Access,p019.jpg,3241,3697,Atmospheric landscape with glowing light.,"Mood, light contrast, and structural background element.",selected,Met Open Access.
p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),Unknown,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/335335,Public Domain / Open Access,p020.jpg,3508,2416,Study-like mountain variation.,Different mountain-focused natural structure.,selected,Met Open Access.
p021,architecture_structured,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interieur-van-de-Oude-Kerk-in-Delft--a9a613509471ccc6de1cd242596ce9a1,Public domain,p021.jpg,4435,5246,"Architectural interior with perspective, columns, and windows.",Church interior with strong depth and vertical lines.,selected,Rijksmuseum.
p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",Emanuel de Witte,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-a-Protestant-Gothic-Church-with-a-Gravedigger-in-the-Choir--46eceb3566e0be6f1e30680ef03509c0,Public domain,p022.jpg,4156,5341,Gothic interior with oblique depth and floor geometry.,"Columns, repeated structures, and perspective lines.",selected,Rijksmuseum.
p023,architecture_structured,Church Interior,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Church-Interior--03aa0ac29d0083c4a571318a84e8f945,Public domain,p023.jpg,5072,7086,Cleaner church-interior perspective case.,"Walls, arches, and moderate spatial complexity.",selected,Rijksmuseum.
p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-the-Church-of-St-Bavo-in-Haarlem--b31dd103930167349dc1a3b0a51bb271,Public domain,p024.jpg,2882,3700,Large-scale church interior.,"Ceiling, windows, columns, and repeated structures.",selected,Rijksmuseum.
p025,architecture_structured,The Quay de Paris in Rouen,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/The-Quay-de-Paris-in-Rouen--8daf5b303aefa1b66277fe8526c0a25e,Public domain,p025.jpg,5595,4661,Urban architecture case with quay and facades.,City composition with vertical built elements.,selected,Rijksmuseum.
p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/View-of-a-Village-along-a-River--c8cdc4675af3869fd7e7c95e32ddb396,Public domain,p026.jpg,5856,4032,Village architecture embedded in wider scene.,Built environment and natural context.,selected,Rijksmuseum.
p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,Jan Both,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Italian-Landscape-with-the-Ponte-Lucano-over-the-Aniene-River--18a22d96a256250a8d2a00d7e5f38d05,Public domain,p027.jpg,5466,4278,Bridge geometry and architecture-nature mix.,"Perspective, edges, and built structure.",selected,Rijksmuseum.
p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),workshop of Johannes Vinckboons,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Trading-posts-of-the-Dutch-East-India-Company-VOC--10844c1f956e0846a1ea5e635e444377,Public domain,p028.jpg,7308,5057,Large structured buildings and site layout.,Multiple buildings and organized spatial layout.,selected,Rijksmuseum.
p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",workshop of Johannes Vinckboons,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/The-Trading-Post-of-the-Dutch-East-India-Company-in-Hooghly-Bengal--d17e986c21eff4ae7608c35080d128e1,Public domain,p029.jpg,6166,4010,Large architectural site composition.,Built environment with scale and layout.,selected,Rijksmuseum.
p030,architecture_structured,Interior with Five Women,attributed to Dirck van Delen,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-with-Five-Women--63cf18ae6e46b04ce56858f17cb88a40,Public domain,p030.jpg,7320,4811,Stately architectural interior with figures.,"Walls, floor, and strong interior geometry.",selected,Rijksmuseum.
p031,abstraction_surrealism,Improvisation No. 30 (Cannons),Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,2987,3000,Pure abstraction with energetic forms and colors.,Chaotic shapes and color interactions.,selected,Art Institute of Chicago.
p032,abstraction_surrealism,Composition (No. 1) Gray-Red,Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/65821/composition-no-1-gray-red,CC0 Public Domain Designation,p032.jpg,2182,2250,Geometric abstraction with sharp lines.,Structured color regions and edge geometry.,selected,Art Institute of Chicago.
p033,abstraction_surrealism,Movement,Marsden Hartley,,,,Art Institute of Chicago,https://www.artic.edu/artworks/65916/movement,CC0 Public Domain Designation,p033.jpg,2981,3000,Dense abstract interweaving of shapes and colors.,Layered non-representational forms.,selected,Art Institute of Chicago.
p034,abstraction_surrealism,Painting with Green Center,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8987/painting-with-green-center,CC0 Public Domain Designation,p034.jpg,2417,2250,Abstract color-and-shape field.,Central color emphasis and varied abstract forms.,selected,Art Institute of Chicago.
p035,abstraction_surrealism,The Bewitched Mill,Franz Marc,,,,Art Institute of Chicago,https://www.artic.edu/artworks/9021/the-bewitched-mill,CC0 Public Domain Designation,p035.jpg,2072,3000,Symbolic dreamlike case beyond pure abstraction.,Distorted expressive scene with surreal-like qualities.,selected,Art Institute of Chicago.
p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray,CC0 Public Domain Designation,p036.jpg,3000,3000,Highly geometric abstraction with diagonal framing.,"Lines, borders, and planar color regions.",selected,Art Institute of Chicago.
p037,abstraction_surrealism,In the Sea,Arnold Böcklin,,,,Art Institute of Chicago,https://www.artic.edu/artworks/110507/in-the-sea,CC0 Public Domain Designation,p037.jpg,3000,2261,Symbolic and dreamlike scene.,Mythic imagery with unusual mood.,selected,Art Institute of Chicago.
p038,abstraction_surrealism,Mahana no atua (Day of the God),Paul Gauguin,,,,Art Institute of Chicago,https://www.artic.edu/artworks/27943/mahana-no-atua-day-of-the-god,CC0 Public Domain Designation,p038.jpg,3000,2238,Symbolic non-naturalistic color/figure composition.,Dreamlike scene with stylized forms.,selected,Art Institute of Chicago.
p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8983/painting-with-troika,CC0 Public Domain Designation,p039.jpg,3000,2202,Semi-abstract bridge case.,Stylized forms and partially recognizable elements.,selected,Art Institute of Chicago.
p040,abstraction_surrealism,Houses at Murnau,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/129849/houses-at-murnau,CC0 Public Domain Designation,p040.jpg,2920,2250,Strongly stylized semi-abstract scene.,Colorful simplified built forms.,selected,Art Institute of Chicago.
p041,high_texture_brushwork,Wheat Field with Cypresses,Vincent van Gogh,1889,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436535,Public Domain / Open Access,p041.jpg,4000,3184,High-texture case with swirling brushwork.,Dense directional brushwork and surface activity.,selected,Met Open Access.
p042,high_texture_brushwork,View of Beirut,Jules Coignet,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438634,Public Domain / Open Access,p042.jpg,1957,1258,Sketch-like brushwork and shimmering light.,Loose landscape handling and atmospheric variation.,selected,Met Open Access replacement.
p043,high_texture_brushwork,The Card Players,Paul Cézanne,1890-92,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/435868,Public Domain / Open Access,p043.jpg,3909,3112,Structured Cézanne brushwork.,Patch-like brushwork and geometric figure composition.,selected,Met Open Access.
p044,high_texture_brushwork,Versailles,Auguste Renoir,1900-1905,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/459113,Public Domain / Open Access,p044.jpg,4000,3339,Detached brushwork and autumn color.,"Foliage, built elements, and active surface handling.",selected,Met Open Access.
p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,1889,Impressionist outdoor figure painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12447,Public Domain / Open Access,p045.jpg,3212,3848,Figure-plus-landscape brushwork.,"Figures, clothing, parasols, foliage, and light effects.",selected,Met Open Access.
p046,high_texture_brushwork,Boating,Édouard Manet,1874,Impressionism / modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436947,Public Domain / Open Access,p046.jpg,4000,3052,Sketchy brushwork and bright outdoor light.,"Water, figure detail, and loose painterly handling.",selected,Met Open Access replacement.
p047,high_texture_brushwork,The Dance Class,Edgar Degas,1874,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438817,Public Domain / Open Access,p047.jpg,3710,4000,"Figures, fabric, floor, and interior painterly detail.",Multi-figure interior with varied fabric texture.,selected,Met Open Access replacement.
p048,high_texture_brushwork,A Farm in Brittany,Paul Gauguin,1894,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436448,Public Domain / Open Access,p048.jpg,3863,3083,Strong color fields and landscape/farm structure.,Stylized rural scene with visible brush handling.,selected,Met Open Access.
p049,high_texture_brushwork,Peonies,Édouard Manet,1864-65,Modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436961,Public Domain / Open Access,p049.jpg,2514,4000,Loose floral brushwork.,Still-life floral texture and color transitions.,selected,Met Open Access.
p050,high_texture_brushwork,Landscape with a Sunlit Stream,Charles-François Daubigny,,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436090,Public Domain / Open Access,p050.jpg,3033,4000,"Landscape texture case with water, foliage, and light.","Natural textures, stream reflections, and foliage detail.",selected,Met Open Access replacement.
p051,abstraction_surrealism,Composition VII,Wassily Kandinsky,1913,Expressionism / Abstract art,Oil on canvas,Tretyakov Gallery,"https://commons.wikimedia.org/wiki/File:Composition_VII_-_Wassily_Kandinsky,_GAC.jpg",Public domain; Public domain,p051.jpg,3840,2551,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q2990634. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p052,abstraction_surrealism,Improvisation 27 (Garden of Love II),Wassily Kandinsky,1912,Expressionism / Abstract art,Oil on canvas,The Metropolitan Museum of Art,https://commons.wikimedia.org/wiki/File:Improvisation_27_(Garden_of_Love_II)_MET_DP236124.jpg,"CC0; Creative Commons Zero, Public Domain Dedication",p052.jpg,3840,3281,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q19919146. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p053,abstraction_surrealism,In Grey,Wassily Kandinsky,1919,Abstract art / Expressionism,Oil on canvas,Musée National d'Art Moderne,"https://commons.wikimedia.org/wiki/File:Kandinsky_-_Im_Grau,_1919,_GAC.jpg",Public domain; Public domain,p053.jpg,3840,2787,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q3874360. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p054,abstraction_surrealism,Several Circles,Wassily Kandinsky,1926,Abstract art / Bauhaus period,Oil on canvas,Solomon R. Guggenheim Museum,"https://commons.wikimedia.org/wiki/File:Vassily_Kandinsky,_1926_-_Several_Circles,_Gugg_0910_25.jpg",Public domain; Public domain,p054.jpg,1800,1833,User-priority selection retained for distinctive visual structure and restoration-test value.,"Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q3609042. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p055,abstraction_surrealism,Blossoming Apple Tree,Piet Mondrian,1912,Cubism / Early abstraction,Oil on canvas,Kunstmuseum Den Haag,"https://commons.wikimedia.org/wiki/File:Blossoming_apple_tree,_by_Piet_Mondriaan.jpg",Public domain; Public domain,p055.jpg,2362,1725,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q22114587. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p056,abstraction_surrealism,Composition in oval with color panes 2,Piet Mondrian,1914,Cubism / Early abstraction,Oil on canvas,Kunstmuseum Den Haag,"https://commons.wikimedia.org/wiki/File:Compositie_in_ovaal_met_kleurvlakken_2,_1914.jpg",Public domain; Public domain,p056.jpg,2641,3543,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q24046414. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p057,abstraction_surrealism,Composition 8,Piet Mondrian,1914,Cubism / Early abstraction,Oil on canvas,Sidney Janis Gallery; Solomon R. Guggenheim Museum,"https://commons.wikimedia.org/wiki/File:Composition_8,_Piet_Mondrian,_1914.jpg",Public domain; Public domain,p057.jpg,1960,3376,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q19882854. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p058,abstraction_surrealism,Composition in colour A,Piet Mondrian,1917,De Stijl / Neoplasticism,Oil on canvas,Kröller-Müller Museum,https://commons.wikimedia.org/wiki/File:Otterloo_kroller_muller_mondrian_composition_couleur_A.jpg,Public domain; Public domain,p058.jpg,2521,2798,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q24021121. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p059,abstraction_surrealism,Abstract Architectural Composition with Dark Yellow Ball,Paul Klee,1915,Expressionism / Early abstraction,Oil on panel,KODE Art museums and composer homes,"https://commons.wikimedia.org/wiki/File:%27Abstract_Architectural_Composition_with_Dark_Yellow_Ball%27_by_Paul_Klee,_1915.JPG",Public domain; Public domain,p059.jpg,3840,2709,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q111449484. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p060,abstraction_surrealism,Abstract Trio,Paul Klee,1923,Bauhaus / Abstract art,Watercolor and India ink on paper mounted on cardboard,The Metropolitan Museum of Art,"https://commons.wikimedia.org/wiki/File:Abstract_Trio,_1923_-_Paul_Klee,_MET_DT1769.jpg",Public domain; Public domain,p060.jpg,3840,2611,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q19922672. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p061,abstraction_surrealism,Tree and Architecture―Rhythms,Paul Klee,1920,Bauhaus / Abstract art,Oil on paper,National Gallery of Art,"https://commons.wikimedia.org/wiki/File:Baum_und_Architektur-Rhythmen,_1920_-_Paul_Klee_(NGA_2004.140.41.b).jpg",Public domain; Public domain,p061.jpg,3840,2799,User-priority selection retained for distinctive visual structure and restoration-test value.,"Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q138473323. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p062,abstraction_surrealism,Senecio,Paul Klee,1922,Cubism / Expressionism,Oil on canvas mounted by marouflage,Kunstmuseum Basel,"https://commons.wikimedia.org/wiki/File:Paul_Klee,_1922,_Senecio,_oil_on_gauze,_40.3_%C3%97_37.4_cm,_Kunstmuseum_Basel.jpg",Public domain; Public domain,p062.jpg,3840,4186,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q60497141. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p063,abstraction_surrealism,Dynamic Suprematism,Kazimir Malevich,1915,Suprematism,Oil on canvas,Tate,"https://commons.wikimedia.org/wiki/File:Dynamic_Suprematism_(Malevich,_1916).jpg",Public domain; Public domain,p063.jpg,3840,3805,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q28548384. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p064,abstraction_surrealism,Suprematist Painting: Eight Red Rectangles,Kazimir Malevich,1915,Suprematism,Oil on canvas,Stedelijk Museum Amsterdam,https://commons.wikimedia.org/wiki/File:Malevich-Suprematism..jpg,Public domain; Public domain,p064.jpg,3840,4512,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q19934445. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p065,abstraction_surrealism,Painterly Realism of a Football Player - Color Masses in the 4th Dimension,Kazimir Malevich,1915,Suprematism,Oil on canvas,Art Institute of Chicago,"https://commons.wikimedia.org/wiki/File:Painterly_Realism_of_a_Football_Player_%E2%80%93_Color_Masses_in_the_4th_Dimension_(Malevich,_1915)_-_Google_Art_Project.jpg",Public domain; Public domain,p065.jpg,3840,6068,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q19934456. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p066,abstraction_surrealism,Woman with Pails: Dynamic Arrangement,Kazimir Malevich,1912,Cubo-Futurism / Early Suprematism,Oil on canvas,Museum of Modern Art,"https://commons.wikimedia.org/wiki/File:Woman_with_Pails_(Malevich,_1912).jpg",Public domain; Public domain,p066.jpg,3840,3814,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q19883621. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
p067,abstraction_surrealism,"The Ten Largest, No. 1, Childhood",Hilma af Klint,1907,Early abstract art / Symbolism,Tempera on paper mounted on canvas,Hilma af Klint Foundation,https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_The_Ten_Largest_No._1_-_Childhood_-_1907.jpg,Public domain; Public domain,p067.jpg,3840,5101,"Selected for visual diversity, metadata completeness, and restoration-test value while limiting repeated series and artist concentration.","Includes non-photorealistic colour and spatial structure that can test texture continuation, boundary coherence, feature similarity, and the distinction between plausible generation and reference fidelity.",selected,"Candidate source record Q105007373. Date and medium were checked against Wikidata, Wikimedia Commons structured metadata, or linked collection records. The style/period value is a broad analytical grouping, not an independently validated art-historical attribution."
